"","time_point","temperature","load","voltage","force"
"1",0,23.979,-2.198291016672,3.86688232,-9.77848206618072
"2",0.1,23.989,-2.044921875,3.86749268,-9.0962623828125
"3",0.2,23.9865,-1.976757811104,3.86739095333333,-8.79305363050903
"4",0.3,23.984,-1.908593747208,3.86728922666667,-8.48984487820557
"5",0.4,23.993,-1.840429683312,3.8671875,-8.1866361259021
"6",0.5,24.002,-2.044921875,3.8671875,-9.0962623828125
"7",0.6,23.9965,-1.993798824984,3.8671875,-8.86885580927033
"8",0.7,23.991,-1.891552733328,3.86749268,-8.41404269944428
"9",0.8,23.989,-1.993798824984,3.86627197,-8.86885580927033
"10",0.9,23.987,-1.584814449984,3.86627197,-7.04960333270783
"11",1,23.9845,-0.766845699984,3.8671875,-3.41109837958283
"12",1.1,23.982,-0.6134765625,3.866882325,-2.72887871484375
"13",1.2,23.982,-0.460107425016,3.86657715,-2.04665905010467
"14",1.3,23.982,-0.153369141672,3.86657715,-0.682219683368224
"15",1.4,23.9805,0.051123050016,3.86688232,0.227406573542172
"16",1.5,23.979,0.204492183312,3.86657715,0.909626219652105
"17",1.6,23.981,0.869091800016,3.86688232,3.86591152666717
"18",1.7,23.983,0.664599608328,3.8671875,2.95628526975678
"19",1.8,23.984,0.255615233328,3.86810303,1.13703279319428
"20",1.9,23.985,0.81796875,3.8671875,3.638504953125
"21",2,23.985,0.051123050016,3.86657715,0.227406573542172
"22",2.1,23.985,0.255615237516,3.86657715,1.13703281182342
"23",2.2,23.9815,0.460107425016,3.86657715,2.04665905010467
"25",2.4,23.9725,-0.511230466656,3.86688232,-2.27406558638855
"26",2.5,23.967,-1.380322266672,3.8671875,-6.13997711305572
"27",2.6,23.969,-0.971337891672,3.8671875,-4.32072463649322
"28",2.7,23.971,-1.584814449984,3.86657715,-7.04960333270783
"29",2.8,23.968,-1.942675783344,3.86688232,-8.64144927298645
"30",2.9,23.965,-1.533691408344,3.86688232,-6.82219679642395
"31",3,23.9635,-1.533691408344,3.8671875,-6.82219679642395
"32",3.1,23.962,-1.584814449984,3.86627197,-7.04960333270783
"33",3.2,23.954,-1.942675783344,3.86688232,-8.64144927298645
"34",3.3,23.946,-2.147167966656,3.8671875,-9.55107549263855
"35",3.4,23.96,-1.329199216656,3.8671875,-5.91257053951355
"36",3.5,23.974,-1.329199216656,3.86749268,-5.91257053951355
"37",3.6,23.971,-1.840429683312,3.8671875,-8.1866361259021
"38",3.7,23.968,-1.738183591656,3.86688232,-7.73182301607605
"39",3.8,23.9705,-2.096044925016,3.86688232,-9.32366895635467
"40",3.9,23.973,-1.993798829172,3.866577145,-8.86885582789947
"41",4,23.9735,-1.891552733328,3.86627197,-8.41404269944428
"42",4.1,23.974,-1.917114258336,3.866729735,-8.52774598621536
"43",4.2,23.9735,-1.942675783344,3.8671875,-8.64144927298645
"44",4.3,23.973,-1.687060550016,3.86657715,-7.50441647979217
"45",4.4,23.97,-1.533691408344,3.86749268,-6.82219679642395
"46",4.5,23.967,-0.920214841656,3.86749268,-4.09331806295105
"47",4.6,23.964,-0.869091800016,3.86627197,-3.86591152666717
"48",4.7,23.961,-0.408984375,3.8671875,-1.8192524765625
"49",4.8,23.9565,-1.073583983328,3.86657715,-4.77553774631928
"50",4.9,23.952,0.051123050016,3.8671875,0.227406573542172
"51",5,23.96,0.051123050016,3.8671875,0.227406573542172
"52",5.1,23.968,0.357861324984,3.8671875,1.59184590302033
"53",5.2,23.966,0.051123050016,3.8671875,0.227406573542172
"54",5.3,23.964,0.153369141672,3.866882325,0.682219683368226
"55",5.4,23.963,0.255615233328,3.86657715,1.13703279319428
"57",5.6,23.958,-0.357861324984,3.86749268,-1.59184590302033
"58",5.7,23.954,-0.102246091656,3.86749268,-0.454813109826052
"59",5.8,23.957,-0.562353516672,3.8671875,-2.50147215993072
"60",5.9,23.96,-0.766845704172,3.866882325,-3.41109839821197
"61",6,23.9565,-0.971337891672,3.86657715,-4.32072463649322
"62",6.1,23.953,-1.226953125,3.8671875,-5.4577574296875
"63",6.2,23.9505,-1.533691408344,3.8671875,-6.82219679642395
"64",6.3,23.948,-2.147167966656,3.86657715,-9.55107549263855
"65",6.4,23.944,-2.096044925016,3.86627197,-9.32366895635467
"66",6.5,23.94,-2.351660158344,3.8671875,-10.4607017495489
"67",6.6,23.9435,-2.147167966656,3.8671875,-9.55107549263855
"68",6.7,23.947,-2.607275391672,3.86688232,-11.5977345427432
"69",6.8,23.9495,-2.300537108328,3.86657715,-10.2332951760068
"70",6.9,23.952,-2.300537108328,3.866882325,-10.2332951760068
"71",7,23.9455,-2.300537108328,3.8671875,-10.2332951760068
"72",7.1,23.939,-2.300537108328,3.86627197,-10.2332951760068
"73",7.2,23.946,-2.351660158344,3.86627197,-10.4607017495489
"74",7.3,23.953,-2.811767574984,3.86688232,-12.5073607623953
"75",7.4,23.947,-1.993798824984,3.86688232,-8.86885580927033
"76",7.5,23.941,-2.556152341656,3.8671875,-11.3703279692011
"77",7.6,23.942,-1.840429683312,3.86688232,-8.1866361259021
"78",7.7,23.943,-1.840429683312,3.86688232,-8.1866361259021
"79",7.8,23.9415,-1.840429683312,3.86688232,-8.1866361259021
"80",7.9,23.94,-2.044921875,3.86688232,-9.0962623828125
"81",8,23.946,-1.6359375,3.8671875,-7.27700990625
"82",8.1,23.952,-1.891552733328,3.86627197,-8.41404269944428
"83",8.2,23.945,-1.431445308312,3.86688232,-6.3673836493396
"84",8.3,23.938,-1.584814449984,3.8671875,-7.04960333270783
"85",8.4,23.941,-1.993798824984,3.8671875,-8.86885580927033
"86",8.5,23.944,-1.380322266672,3.8671875,-6.13997711305572
"87",8.6,23.9345,-1.431445308312,3.8671875,-6.3673836493396
"88",8.7,23.925,-1.175830074984,3.8671875,-5.23035085614533
"89",8.8,23.9285,-1.584814449984,3.8671875,-7.04960333270783
"90",8.9,23.932,-1.533691408344,3.8671875,-6.82219679642395
"91",9,23.937,-1.789306641672,3.8671875,-7.95922958961822
"92",9.1,23.942,-1.814868162492,3.866882325,-8.07293285776016
"93",9.2,23.9355,-1.840429683312,3.86657715,-8.1866361259021
"94",9.3,23.929,-1.993798824984,3.86688232,-8.86885580927033
"95",9.4,23.929,-1.840429683312,3.86688232,-8.1866361259021
"96",9.5,23.929,-1.942675783344,3.86749268,-8.64144927298645
"97",9.6,23.932,-2.556152341656,3.8671875,-11.3703279692011
"98",9.7,23.935,-2.862890625,3.86657715,-12.7347673359375
"99",9.8,23.93,-2.811767574984,3.86657715,-12.5073607623953
"100",9.9,23.925,-2.735083004148,3.866882325,-12.1662509207112
"101",10,23.9295,-2.658398433312,3.8671875,-11.8251410790271
"102",10.1,23.934,-3.016259766672,3.86627197,-13.4169870193057
"103",10.2,23.9315,-2.811767574984,3.86688232,-12.5073607623953
"104",10.3,23.929,-3.220751949984,3.8671875,-14.3266132389578
"105",10.4,23.9255,-3.067382808312,3.8671875,-13.6443935555896
"106",10.5,23.922,-2.45390625,3.86657715,-10.915514859375
"107",10.6,23.924,-2.914013675016,3.8671875,-12.9621739094797
"108",10.7,23.926,-2.198291016672,3.86688232,-9.77848206618072
"109",10.8,23.921,-2.300537108328,3.86657715,-10.2332951760068
"110",10.9,23.916,-1.86599120832,3.867034915,-8.30033941267319
"111",11,23.923,-1.431445308312,3.86749268,-6.3673836493396
"112",11.1,23.93,-1.329199216656,3.86749268,-5.91257053951356
"113",11.2,23.9325,-1.226953125,3.86749268,-5.4577574296875
"114",11.3,23.935,-0.613476558312,3.86657715,-2.7288786962146
"115",11.4,23.936,-0.81796875,3.86749268,-3.638504953125
"116",11.5,23.937,-0.051123050016,3.8671875,-0.227406573542172
"117",11.6,23.934,-0.306738283344,3.86688232,-1.36443936673645
"118",11.7,23.931,-0.306738283344,3.86657715,-1.36443936673645
"119",11.8,23.9275,-0.562353516672,3.86749268,-2.50147215993072
"120",11.9,23.924,-0.408984375,3.86734009,-1.8192524765625
"121",12,23.9305,-0.255615233328,3.8671875,-1.13703279319428
"123",12.2,23.9295,-0.051123050016,3.86657715,-0.227406573542172
"124",12.3,23.922,0.255615233328,3.86688232,1.13703279319428
"125",12.4,23.923,0.204492183312,3.86688232,0.909626219652105
"126",12.5,23.924,-0.051123050016,3.86688232,-0.227406573542172
"127",12.6,23.924,-0.306738283344,3.86749268,-1.36443936673645
"128",12.7,23.924,-0.715722658344,3.86627197,-3.18369184329895
"129",12.8,23.926,-0.766845699984,3.86657715,-3.41109837958283
"130",12.9,23.928,-1.226953125,3.8671875,-5.4577574296875
"131",13,23.929,-1.431445308312,3.86688232,-6.3673836493396
"132",13.1,23.93,-1.789306641672,3.8671875,-7.95922958961822
"133",13.2,23.934,-1.891552733328,3.86688232,-8.41404269944428
"134",13.3,23.938,-1.687060550016,3.86688232,-7.50441647979217
"135",13.4,23.9275,-2.300537108328,3.86657715,-10.2332951760068
"136",13.5,23.917,-2.377221679164,3.867034915,-10.5744050176909
"137",13.6,23.9245,-2.45390625,3.86749268,-10.915514859375
"138",13.7,23.932,-2.402783199984,3.86688232,-10.6881082858328
"139",13.8,23.936,-3.527490233328,3.86688232,-15.6910526056943
"140",13.9,23.94,-3.016259766672,3.8671875,-13.4169870193057
"141",14,23.9365,-2.709521483328,3.86688232,-12.0525476525693
"142",14.1,23.933,-3.016259766672,3.86657715,-13.4169870193057
"143",14.2,23.9305,-3.220751949984,3.8671875,-14.3266132389578
"144",14.3,23.928,-1.891552733328,3.86627197,-8.41404269944428
"145",14.4,23.9265,-2.198291016672,3.86688232,-9.77848206618072
"146",14.5,23.925,-1.226953125,3.8671875,-5.4577574296875
"147",14.6,23.923,-1.891552733328,3.86688232,-8.41404269944428
"148",14.7,23.921,-1.610375974992,3.86703491,-7.1633066194789
"149",14.8,23.928,-1.329199216656,3.8671875,-5.91257053951355
"150",14.9,23.935,-1.482568358328,3.86657715,-6.59479022288178
"151",15,23.937,-1.278076175016,3.86688232,-5.68516400322967
"152",15.1,23.939,-1.738183591656,3.8671875,-7.73182301607605
"153",15.2,23.9355,-1.942675783344,3.86688232,-8.64144927298645
"154",15.3,23.932,-1.329199216656,3.86688232,-5.91257053951355
"155",15.4,23.9355,-1.175830074984,3.8671875,-5.23035085614533
"156",15.5,23.939,-1.124707033344,3.86749268,-5.00294431986145
"157",15.6,23.94,-1.175830074984,3.8671875,-5.23035085614533
"158",15.7,23.941,-1.329199216656,3.8671875,-5.91257053951355
"159",15.8,23.939,-1.278076175016,3.8671875,-5.68516400322967
"160",15.9,23.937,-1.048022462508,3.8671875,-4.66183447817735
"161",16,23.9385,-0.81796875,3.8671875,-3.638504953125
"162",16.1,23.94,-0.792407224992,3.86703491,-3.52480166635392
"163",16.2,23.9375,-0.766845699984,3.86688232,-3.41109837958283
"164",16.3,23.935,-0.971337891672,3.86657715,-4.32072463649322
"165",16.4,23.9335,-0.357861324984,3.86657715,-1.59184590302033
"166",16.5,23.932,-0.408984375000001,3.866882325,-1.8192524765625
"167",16.6,23.933,-0.460107425016,3.8671875,-2.04665905010467
"168",16.7,23.934,-0.460107425016,3.8671875,-2.04665905010467
"169",16.8,23.9395,-0.664599608328,3.86688232,-2.95628526975678
"170",16.9,23.945,-0.664599608328,3.86703491,-2.95628526975678
"171",17,23.939,-0.664599608328,3.8671875,-2.95628526975678
"172",17.1,23.933,-0.971337891672,3.86688232,-4.32072463649322
"173",17.2,23.934,-1.073583983328,3.86627197,-4.77553774631928
"174",17.3,23.935,-1.175830074984,3.86627197,-5.23035085614533
"175",17.4,23.9365,-0.869091800016,3.86688232,-3.86591152666717
"176",17.5,23.938,-1.073583983328,3.86749268,-4.77553774631928
"177",17.6,23.9355,-1.533691408344,3.86688232,-6.82219679642395
"178",17.7,23.933,-1.942675783344,3.86657715,-8.64144927298645
"179",17.8,23.938,-2.402783199984,3.8671875,-10.6881082858328
"180",17.9,23.943,-2.377221679164,3.86703491,-10.5744050176909
"181",18,23.9395,-2.351660158344,3.86688232,-10.4607017495489
"182",18.1,23.936,-2.862890625,3.86688232,-12.7347673359375
"183",18.2,23.936,-3.067382808312,3.86749268,-13.6443935555896
"184",18.3,23.936,-3.578613283344,3.86749268,-15.9184591792364
"185",18.4,23.9355,-3.425244141672,3.86688232,-15.2362394958682
"186",18.5,23.935,-3.399682616664,3.86703491,-15.1225362090971
"187",18.6,23.938,-3.374121091656,3.8671875,-15.0088329223261
"188",18.7,23.941,-3.271875,3.8671875,-14.5540198125
"189",18.8,23.9355,-3.680859375,3.8671875,-16.3732722890625
"190",18.9,23.93,-3.783105466656,3.86627197,-16.8280853988886
"191",19,23.932,-3.885351558312,3.8671875,-17.2828985087146
"192",19.1,23.934,-3.731982420828,3.8671875,-16.6006788439755
"193",19.2,23.936,-3.578613283344,3.8671875,-15.9184591792364
"194",19.3,23.938,-3.476367183312,3.86627197,-15.4636460321521
"195",19.4,23.9405,-3.731982425016,3.86688232,-16.6006788626047
"196",19.5,23.943,-3.680859375,3.8671875,-16.3732722890625
"197",19.6,23.9425,-3.527490233328,3.8671875,-15.6910526056943
"198",19.7,23.942,-3.783105466656,3.86657715,-16.8280853988886
"199",19.8,23.9365,-3.783105466656,3.8671875,-16.8280853988886
"200",19.9,23.931,-3.629736324984,3.86749268,-16.1458657155203
"201",20,23.9355,-3.527490233328,3.86627197,-15.6910526056943
"202",20.1,23.94,-3.987597658344,3.86749268,-17.737711655799
"203",20.2,23.9335,-3.169628908344,3.86688232,-14.099206702674
"204",20.3,23.927,-3.374121091656,3.86688232,-15.0088329223261
"205",20.4,23.926,-2.914013675016,3.8671875,-12.9621739094797
"206",20.5,23.925,-2.607275391672,3.86688232,-11.5977345427432
"207",20.6,23.928,-2.811767574984,3.86688232,-12.5073607623953
"208",20.7,23.931,-2.45390625,3.86688232,-10.915514859375
"209",20.8,23.9305,-2.147167966656,3.86688232,-9.55107549263855
"210",20.9,23.93,-1.431445308312,3.86688232,-6.3673836493396
"211",21,23.9305,-1.840429683312,3.86749268,-8.1866361259021
"212",21.1,23.931,-1.789306641672,3.86749268,-7.95922958961822
"213",21.2,23.9305,-2.147167966656,3.8671875,-9.55107549263855
"214",21.3,23.93,-2.044921875,3.86688232,-9.0962623828125
"215",21.4,23.9335,-2.249414058312,3.86688232,-10.0058886024646
"216",21.5,23.937,-1.993798824984,3.8671875,-8.86885580927033
"217",21.6,23.935,-2.300537108328,3.86688232,-10.2332951760068
"218",21.7,23.933,-2.530590820836,3.86688232,-11.2566247010591
"219",21.8,23.9305,-2.760644533344,3.86688232,-12.2799542261114
"220",21.9,23.928,-2.505029300016,3.86688232,-11.1429214329172
"221",22,23.933,-2.402783199984,3.86688232,-10.6881082858328
"222",22.1,23.938,-2.198291016672,3.86688232,-9.77848206618072
"223",22.2,23.9355,-2.811767574984,3.86749268,-12.5073607623953
"224",22.3,23.933,-2.914013675016,3.8671875,-12.9621739094797
"225",22.4,23.9355,-2.658398433312,3.86688232,-11.8251410790271
"226",22.5,23.938,-2.658398433312,3.86688232,-11.8251410790271
"227",22.6,23.9395,-2.351660158344,3.86749268,-10.4607017495489
"228",22.7,23.941,-2.914013675016,3.86688232,-12.9621739094797
"229",22.8,23.94,-2.300537108328,3.86688232,-10.2332951760068
"230",22.9,23.939,-2.658398433312,3.86688232,-11.8251410790271
"231",23,23.935,-2.811767574984,3.86749268,-12.5073607623953
"232",23.1,23.931,-2.607275391672,3.86657715,-11.5977345427432
"233",23.2,23.933,-2.862890625,3.8671875,-12.7347673359375
"234",23.3,23.935,-2.760644533344,3.8671875,-12.2799542261114
"235",23.4,23.9345,-3.016259766672,3.86688232,-13.4169870193057
"236",23.5,23.934,-2.862890625,3.86703491,-12.7347673359375
"237",23.6,23.935,-2.709521483328,3.8671875,-12.0525476525693
"238",23.7,23.936,-2.658398433312,3.8671875,-11.8251410790271
"239",23.8,23.929,-2.556152341656,3.8671875,-11.3703279692011
"240",23.9,23.922,-2.300537108328,3.86657715,-10.2332951760068
"241",24,23.922,-2.249414058312,3.86688232,-10.0058886024646
"242",24.1,23.922,-1.840429683312,3.8671875,-8.1866361259021
"243",24.2,23.924,-1.482568358328,3.8671875,-6.59479022288178
"244",24.3,23.926,-1.380322266672,3.86688232,-6.13997711305572
"245",24.4,23.9245,-1.482568358328,3.8671875,-6.59479022288178
"246",24.5,23.923,-1.482568358328,3.86657715,-6.59479022288178
"247",24.6,23.921,-1.124707033344,3.8671875,-5.00294431986145
"248",24.7,23.919,-1.073583983328,3.8671875,-4.77553774631928
"249",24.8,23.916,-0.920214841656,3.86749268,-4.09331806295105
"250",24.9,23.913,-0.460107425016,3.8671875,-2.04665905010467
"251",25,23.913,-1.022460933312,3.8671875,-4.5481311727771
"252",25.1,23.913,-0.920214841656002,3.8671875,-4.09331806295106
"253",25.2,23.9135,-0.81796875,3.8671875,-3.638504953125
"254",25.3,23.914,-0.306738283344,3.86688232,-1.36443936673645
"255",25.4,23.9125,-1.124707033344,3.8671875,-5.00294431986145
