"","time_point","temperature","load","voltage","force"
"1",0,23.95504,-0.822524590163934,3.99583606557377,-3.65877033245902
"2",0.1,23.9588907462687,-0.5814,3.995,-2.586195108
"3",0.2,23.9641698507463,-0.635238805970149,3.995,-2.82568196149254
"4",0.3,23.9638057142857,-0.6802,3.995,-3.025679244
"5",0.4,23.9744004040404,-0.6265,3.99416666666667,-2.78680983
"6",0.5,23.93436,-0.734307692307692,3.995,-3.26636216307692
"7",0.6,23.9526754545455,-0.734596153846154,3.995,-3.26764530346154
"8",0.7,23.95963,-0.710304347826087,3.995,-3.15959000608696
"9",0.8,23.94629,-0.904,3.995,-4.02119088
"10",0.9,23.97629,-0.738802816901408,3.99452112676056,-3.28635746619718
"11",1,23.95619,-0.588698412698413,3.998,-2.61866005333333
"12",1.1,23.969144887218,-0.881634920634921,3.99604761904762,-3.92170608666667
"13",1.2,23.9575170676692,-0.777666666666666,3.995,-3.45923242
"14",1.3,23.9900805882353,-0.768333333333333,3.995,-3.4177157
"15",1.4,23.96136,-0.966283018867925,3.99498113207547,-4.29823945018868
"16",1.5,23.96193,-0.796044444444445,3.995,-3.54098081866667
"17",1.6,23.97802,-0.759086956521739,3.995,-3.37658578173913
"18",1.7,23.9740398019802,-0.75905,3.995,-3.376421391
"19",1.8,23.9866935820896,-0.752511111111111,3.995,-3.34733497466667
"20",1.9,24.00041,-0.755245283018868,3.995,-3.35949717283019
"21",2,23.99409,-0.729977777777778,3.99428888888889,-3.24710175066667
"22",2.1,24.00271,-0.668763636363638,3.998,-2.97480778254546
"23",2.2,24.00616,-0.87265625,3.995,-3.881766984375
"24",2.3,24.0195207462687,-0.647466666666667,3.995,-2.880074176
"25",2.4,23.99467,-1.0266,3.995,-4.566542652
"26",2.5,23.9940056716418,-0.830333333333333,3.99403703703704,-3.69350534
"27",2.6,23.97514,-0.646274509803922,3.995,-2.8747712
"28",2.7,23.98433,-1.02267307692308,3.995,-4.54907483423076
"29",2.8,23.997284887218,-0.708877192982456,3.995,-3.15324170736842
"30",2.9,24.0153788721804,-1.14255555555556,3.995,-5.08233847333334
"31",3,24.0192660902256,-1.07827083333333,3.995,-4.79638588625
"32",3.1,23.9936464,-0.951933333333332,3.995,-4.234408892
"33",3.2,24.0060736090226,-0.812133333333334,3.995,-3.612547736
"34",3.3,23.9974345112782,-0.654368421052632,3.995,-2.91077469789474
"35",3.4,24.0100245112782,-2.39912727272727,3.995,-10.6718459170909
"36",3.5,24.002250075188,-2.63367346938776,3.995,-11.715159
"37",3.6,24.002331,-2.5775652173913,3.995,-11.4655771513043
"38",3.7,24.0221898,-1.08269565217391,3.995,-4.81606845391305
"39",3.8,24.0178859405941,-0.748943396226414,3.995,-3.33146499396226
"40",3.9,23.98548,-1.15705555555556,3.995,-5.14683766333333
"41",4,23.9782528358209,-1.06686206896552,3.995,-4.7456371924138
"42",4.1,23.96882,-0.931347826086957,3.995,-4.14284002695652
"43",4.2,23.9761735820896,-0.755478260869565,3.995,-3.36053350956522
"44",4.3,23.95389,-0.822000000000005,3.995,-3.65643684000002
"45",4.4,23.9447,-2.43228571428571,3.995,-10.81934196
"46",4.5,23.9657049253731,-2.62405555555556,3.995,-11.6723764033333
"47",4.6,23.97169,-2.71696,3.995,-12.0856358112
"48",4.7,23.9651672727273,-2.54867391304348,3.99484782608696,-11.3370622734783
"49",4.8,23.9797515,-2.98078,3.995,-13.2591652116
"50",4.9,23.9807733834586,-2.97356164383562,3.995,-13.2270563753425
"51",5,23.9691117293233,-2.89750724637681,3.995,-12.8887496834783
"52",5.1,23.960105530303,-2.78,3.995,-12.3660516
"53",5.2,23.9496585606061,-2.00528260869565,3.99586956521739,-8.91993820565218
