"","time_point","temperature","load","voltage","force"
"1",0,22.15374,0.145090909090909,3.94471590909091,0.645396283636363
"2",0.1,22.15316,-0.115573333333333,3.944,-0.5140956128
"4",0.3,22.1913242574257,0.00845454545454561,3.944,0.0376076781818188
"5",0.4,22.15375,-0.055091743119266,3.944,-0.245060193577982
"6",0.5,22.13681,-0.126191588785047,3.944,-0.561327949065421
"7",0.6,22.166,-0.167780373831776,3.944,-0.746324014485981
"9",0.8,22.1642405940594,0.0592205882352941,3.944,0.263426205
"11",1,22.22056,0.0781111111111105,3.94337777777778,0.347455406666664
"12",1.1,22.24656,-0.0606190476190476,3.944,-0.26964686
"14",1.3,22.2565666336634,-0.0104576271186439,3.944,-0.0465178261016944
"16",1.5,22.2656062376238,-0.00249032258064517,3.944,-0.0110775027096774
"17",1.6,22.24423,0.044325,3.944,0.1971673515
"18",1.7,22.24948,0.0892523364485977,3.944,0.397014028037381
"19",1.8,22.25707,-0.206850393700787,3.94390551181102,-0.920116058267717
"20",1.9,22.2541789108911,-0.213937007874016,3.94311811023622,-0.951638877165354
"21",2,22.2772467,-0.0752666666666662,3.94426666666667,-0.334802691999998
"22",2.1,22.2502451515152,-0.169710691823899,3.944,-0.754910493584904
"23",2.2,22.28973,-0.0407798742138367,3.944,-0.181397852075473
"24",2.3,22.2879973267327,0.0108427672955976,3.944,0.0482310143396231
"25",2.4,22.2644967676768,-0.044293501048218,3.944,-0.197027237232704
"26",2.5,22.27982,-0.0994297693920336,3.944,-0.442285488805031
"27",2.6,22.3034932673267,-0.154566037735849,3.944,-0.687543740377359
"28",2.7,22.28987,-0.209702306079665,3.944,-0.932801991949685
"29",2.8,22.2861592929293,0.00642682926829293,3.944,0.028587950487806
"30",2.9,22.29323,0.0359812734082397,3.944,0.16005262
"31",3,22.26932,-0.00259550561797754,3.944,-0.0115453800000001
"32",3.1,22.2629,-0.0462941176470588,3.944,-0.20592642
"33",3.2,22.24714,-0.116882352941176,3.944,-0.519918419999999
"34",3.3,22.2273,-0.132823529411765,3.944,-0.59082828
"35",3.4,22.2163198019802,-0.014973630831643,3.944,-0.0666060041379308
"36",3.5,22.2196849,0.102876267748479,3.944,0.457616271724139
"37",3.6,22.2468658,0.220726166328601,3.944,0.981838547586208
"38",3.7,22.2529216,0.338576064908722,3.944,1.50606082344828
"39",3.8,22.2219615151515,0.427616580310881,3.944,1.90213262487047
"40",3.9,22.23081,0.465440414507772,3.944,2.07038136062176
"41",4,22.2602654455446,0.454926229508197,3.94470491803279,2.02361195262295
"42",4.1,22.2282167,0.398381443298969,3.946,1.77208830371134
"43",4.2,22.2134459,0.247869565217392,3.9444347826087,1.10257835739131
"44",4.3,22.2213883,0.138175675675676,3.944,0.614635804054055
"45",4.4,22.2207897979798,0.196283783783784,3.944,0.873113452702702
"46",4.5,22.23081,0.244086538461539,3.944,1.08575062211539
"47",4.6,22.21622,0.21749090909091,3.944,0.967447411636366
"49",4.8,22.2040467326733,0.197105769230769,3.944,0.876769824807693
"50",4.9,22.21272,0.267298076923077,3.944,1.18900065173077
"51",5,22.24364,0.337490384615384,3.944,1.50123147865384
"52",5.1,22.2308,0.426126582278481,3.9443164556962,1.89550478582278
"54",5.3,22.2483908910891,0.267866666666668,3.94346666666667,1.19152986400001
"55",5.4,22.25648,0.399769230769231,3.944,1.77826148769231
"56",5.5,22.24656,0.395141176470587,3.944,1.757674884
"57",5.6,22.2621540594059,0.69355737704918,3.944,3.0850957957377
"58",5.7,22.2565383,0.76428,3.944368,3.3996855816
"59",5.8,22.2489758,0.169260869565199,3.94408695652174,0.75290958521731
"60",5.9,22.2523208910891,-0.276705882352941,3.94324705882353,-1.23084864
"61",6,22.2662584848485,-0.230415841584158,3.944,-1.02494035485149
"62",6.1,22.2011095,-0.126137931034482,3.94339655172414,-0.561089267586203
"63",6.2,22.2199441414141,-0.802064516129032,3.944,-3.56775942193548
"64",6.3,22.19753,-0.186475409836061,3.944,-0.829483647540962
"66",6.5,22.2122166336634,0.436238095238094,3.944,1.94048302
"68",6.7,22.2356631,0.323126984126984,3.94379365079365,1.43733991333333
"69",6.8,22.1965073529412,0.416805555555556,3.944,1.85404280833333
"70",6.9,22.210604040404,0.373651851851852,3.944,1.66208564044444
"71",7,22.1882,0.428562499999999,3.944,1.90634028375
"72",7.1,22.2095861386139,0.733842105263158,3.944,3.26429112947368
"73",7.2,22.2074834,0.761564102564103,3.9444358974359,3.38760467230769
"74",7.3,22.2045692,-0.319909090909094,3.94330303030303,-1.42302601636365
"75",7.4,22.1974928282828,-0.362409090909091,3.943,-1.61207536636364
"76",7.5,22.20221,-0.252144329896907,3.94359793814433,-1.12159345113402
"77",7.6,22.2160812871287,-0.232255639097744,3.944,-1.03312417894737
"78",7.7,22.2044817,-0.170320000000001,3.94362666666667,-0.757620830400005
"79",7.8,22.1987742,-0.864491228070176,3.944,-3.84544717052632
"80",7.9,22.2050541,-1.13036363636364,3.944,-5.02810613454545
"81",8,22.1977618,-1.09986956521739,3.944,-4.8924617973913
"82",8.1,22.2195099,-0.857000000000003,3.944,-3.81212454000002
"83",8.2,22.1986574,-1.19128787878788,3.94295454545455,-5.29911056818184
"84",8.3,22.1934096039604,-1.37426119402985,3.94227611940298,-6.11301612850746
"85",8.4,22.18937,-1.3116,3.944,-5.834285352
"86",8.5,22.15667,-1.14409243697479,3.944,-5.08917486
"87",8.6,22.17418,-1.14626315789474,3.944,-5.09883070421052
"88",8.7,22.1736057425743,-1.08165217391305,3.944,-4.81142683304349
"89",8.8,22.1595016161616,-1.4285945945946,3.94486486486486,-6.35470304756757
"90",8.9,22.16834,-1.06253398058252,3.94478155339806,-4.7263849031068
"91",9,22.16017,-0.908165048543689,3.94429611650485,-4.03971793223301
"93",9.2,22.1892873737374,-1.58913114754098,3.944,-7.06880495311476
"94",9.3,22.1807969306931,-1.81992307692308,3.944,-8.09541822923077
"95",9.4,22.1611648,-1.34014285714286,3.944,-5.96125026
"96",9.5,22.1438842,-1.283,3.944,-5.70706626
"97",9.6,22.150386,-1.3822,3.944,-6.148329684
"98",9.7,22.1648517,-1.29675409836066,3.944,-5.76824751540984
"99",9.8,22.1660794059406,-1.54899115044248,3.94301769911504,-6.89025341522124
"101",10,22.1827088118812,-1.71053191489362,3.94487234042553,-7.60882227446809
"102",10.1,22.15959,-1.9755294117647,3.944,-8.78758943999999
"104",10.3,22.193634950495,-2.10742477876106,3.944,-9.37428904938054
"105",10.4,22.2027781818182,-2.04490070921986,3.944,-9.09616823276595
"106",10.5,22.2013425742574,-1.9499880952381,3.944,-8.673976045
"107",10.6,22.1876976,-2.1247619047619,3.943,-9.4514084
"108",10.7,22.1963464646465,-2.14077922077922,3.943,-9.52265694545455
"109",10.8,22.1938433663366,-2.15679653679654,3.943,-9.59390549090909
"110",10.9,22.1842751515151,-2.51328260869565,3.94423913043478,-11.1796339656522
"111",11,22.2006100990099,-2.85091489361702,3.944,-12.6814966480851
"112",11.1,22.2079116,-2.90172727272727,3.944,-12.9075212890909
"113",11.2,22.1952236363636,-3.12674468085107,3.94446808510638,-13.9084482242553
"114",11.3,22.1977017821782,-2.81282978723404,3.94382978723404,-12.5120857161702
"115",11.4,22.2058102020202,-3.38970769230769,3.944,-15.0781655510769
"116",11.5,22.2155028712871,-2.99085714285714,3.944,-13.30399056
"117",11.6,22.2091923232323,-3.058,3.944,-13.60265676
"118",11.7,22.2076702,-3.06728571428571,3.944,-13.64396166
"119",11.8,22.2176347524752,-3.08663529411765,3.944,-13.730032848
"120",11.9,22.2012462626263,-3.14925,3.944,-14.008556835
"121",12,22.2212869306931,-3.06090476190476,3.94368253968254,-13.61557778
"122",12.1,22.212661010101,-3.22743157894737,3.94466315789474,-14.3563256981053
"123",12.2,22.2068916,-3.09302083333333,3.944,-13.75843713125
"124",12.3,22.207043960396,-3.09172727272727,3.944,-13.7526830890909
"125",12.4,22.1862573,-3.38647058823529,3.944,-15.0637662
"126",12.5,22.1671973267327,-3.27477922077922,3.94467532467532,-14.5669384254545
"128",12.7,22.1645624752475,-3.4,3.944,-15.123948
"129",12.8,22.13681,-3.34,3.944,-14.8570548
"131",13,22.1432983,-3.0543137254902,3.944,-13.5862594
"132",13.1,22.1490058,-3.07934782608696,3.944,-13.6976165869565
"133",13.2,22.1426323232323,-3.0908125,3.944,-13.74861397875
"134",13.3,22.1410156435644,-3.01842857142857,3.94321428571429,-13.42663434
"135",13.4,22.1467049,-3.20316923076923,3.94456923076923,-14.2484014356923
"136",13.5,22.1432476,-3.2196256684492,3.94461497326203,-14.3216032909091
"137",13.6,22.1447505,-3.13299465240642,3.94408021390374,-13.9362494727273
"138",13.7,22.1211094059406,-3.09314754098361,3.944,-13.7590007547541
"139",13.8,22.12805,-3.15134426229508,3.944,-14.0178725744262
"141",14,22.1379625,-3.3843829787234,3.94344680851064,-15.054480053617
"142",14.1,22.1363526,-3.34525185185185,3.94322962962963,-14.8804161924444
"143",14.2,22.1485903030303,-3.48154814814815,3.94397037037037,-15.4866921035556
"144",14.3,22.1587586,-3.34032258064516,3.944,-14.8584897096774
"145",14.4,22.1758988,-3.40483870967742,3.944,-15.1454716451613
"146",14.5,22.202825,-3.81825675675676,3.944,-16.9844460705405
"147",14.6,22.2040264,-3.47042857142858,3.944,-15.43722978
"148",14.7,22.1794024242424,-3.60533846153847,3.944,-16.0373386513846
"149",14.8,22.2051896039604,-3.708,3.9442,-16.49399976
"150",14.9,22.1887856,-3.75428571428571,3.945,-16.6998888
"151",15,22.2170242,-3.56,3.94322222222222,-15.8356632
"152",15.1,22.1715206,-3.31901030927835,3.94327835051546,-14.7636880379382
"153",15.2,22.2123798989899,-3.13003278688524,3.944,-13.9230744432787
"154",15.3,22.1964567326733,-3.1002358974359,3.944,-13.7905313236923
"155",15.4,22.19922,-3.12382564102564,3.944,-13.8954636929231
"156",15.5,22.19593,-3.15870588235294,3.944,-14.05061868
"157",15.6,22.203187,-3.31672527472527,3.944,-14.7535237015385
"158",15.7,22.2226044444444,-3.26223809523809,3.94344047619048,-14.51115274
"159",15.8,22.2208107920792,-3.16114503816794,3.94348091603053,-14.0614685816794
"160",15.9,22.2183966666667,-3.11260869565217,3.944,-13.8455682521739
"161",16,22.2110987128713,-3.17869565217391,3.944,-14.139537573913
"162",16.1,22.2155834,-3.68286956521738,3.944,-16.3822140573913
"163",16.2,22.2126985858586,-3.96204938271605,3.944,-17.6240673051852
"164",16.3,22.1841715841584,-3.30382352941175,3.944,-14.6961338999999
"165",16.4,22.2045756565657,-4.25656521739132,3.94495652173913,-18.9341385313044
"166",16.5,22.1772563366337,-3.09130434782608,3.94339130434783,-13.7508018260869
"167",16.6,22.1628096,-3.1644,3.944,-14.075947368
"168",16.7,22.1491645454545,-3.26695454545455,3.944,-14.5321325481818
"169",16.8,22.1547385148515,-3.52682608695651,3.944,-15.6880983365217
"170",16.9,22.1874897979798,-3.66139130434783,3.94469565217391,-16.2866740278261
"171",17,22.2082641584158,-3.82378048780488,3.94331707317073,-17.0090168414634
"172",17.1,22.1586913131313,-3.82530136986301,3.94460273972603,-17.0157820594521
"173",17.2,22.1723054,-4.0024606741573,3.94420224719101,-17.80382562
"174",17.3,22.1866138613861,-3.85055555555556,3.944,-17.1281182333333
"175",17.4,22.1728798,-3.80084615384615,3.944,-16.9069998784615
"176",17.5,22.1663915841584,-3.58277333333334,3.944,-15.9369639968
"177",17.6,22.1850676767677,-3.62773983739837,3.944,-16.1369848995122
"178",17.7,22.1644818,-3.55689130434783,3.94354347826087,-15.8218350378261
"179",17.8,22.1758818811881,-3.22664705882354,3.94247058823529,-14.35283598
"180",17.9,22.2020094949495,-2.95321739130435,3.94495652173913,-13.1365606643478
"181",18,22.1821264,-2.7521095890411,3.944,-12.2419889161644
"182",18.1,22.1708452525253,-3.06793478260869,3.944,-13.6468488586956
"183",18.2,22.1785447,-3.16396907216495,3.944,-14.0740305061856
"184",18.3,22.1677719,-3.45454838709677,3.94403225806452,-15.3665912264516
"185",18.4,22.1494829,-3.79969565217391,3.94326086956522,-16.901882193913
"186",18.5,22.1626834653465,-3.84128318584071,3.94383185840708,-17.0868726929204
"187",18.6,22.1678478,-3.81485026737968,3.94498395721925,-16.9692932563636
"188",18.7,22.1432982,-3.94319251336899,3.94444919786096,-17.5401878018182
"189",18.8,22.1464393069307,-3.95801886792454,3.944,-17.6061386886793
"190",18.9,22.1603336,-3.81106896551724,3.944,-16.9524731937931
"191",19,22.1184529,-3.55192045454546,3.944,-15.7997236043182
"192",19.1,22.1515221212121,-3.6798,3.944,-16.368559956
"193",19.2,22.1623114,-3.35253191489361,3.94512765957447,-14.912799514468
"194",19.3,22.1526734,-3.627,3.943,-16.13369394
"195",19.4,22.1569077777778,-3.12030434782608,3.94339130434783,-13.8798002060869
"196",19.5,22.1399773,-2.88778723404255,3.94436170212766,-12.8455129302128
