"","time_point","temperature","load","voltage"
"1",0,22.4875566336634,-1.10755555555556,3.49055555555556
"2",0.1,22.51522,-0.452,3.475
"3",0.2,22.55712,-0.8034,3.483
"4",0.3,22.5641,-0.897733333333333,3.483
"6",0.5,22.5752291089109,-0.891829787234043,3.48134042553191
"8",0.7,22.5784944554455,-0.797133333333333,3.483
"9",0.8,22.56294,-0.873577777777778,3.483
"10",0.9,22.58446,-0.929111111111111,3.48244444444444
"11",1,22.58679,-0.667875,3.483
"13",1.2,22.5759185148515,-0.665304347826086,3.483
"15",1.4,22.6081472,-0.769911111111111,3.48262222222222
"16",1.5,22.5921056,-0.860022222222223,3.4792
"17",1.6,22.5995027,-0.8818,3.483
"18",1.7,22.5907902,-0.750844444444445,3.483
"19",1.8,22.5839446464647,-0.952444444444444,3.48277777777778
"20",1.9,22.589803,-0.734066666666667,3.483
"21",2,22.5643321782178,-0.726022222222223,3.483
"22",2.1,22.4603561,-0.740695652173913,3.483
"23",2.2,22.4465174257426,-0.858333333333331,3.483
"25",2.4,22.4110434653465,-0.769711111111112,3.4754
"26",2.5,22.41739,-0.811622222222222,3.483
"27",2.6,22.44244,-0.93224,3.483
"28",2.7,22.42322,-1.06084782608696,3.483
"29",2.8,22.42438,-0.995666666666666,3.48288888888889
"30",2.9,22.41098,-1.19673333333333,3.483
"32",3.1,22.3996097,-1.0474347826087,3.483
"33",3.2,22.4271543,-0.897739130434783,3.483
"34",3.3,22.4129863,-0.739387755102041,3.47579591836735
"35",3.4,22.4381678,-0.824044444444443,3.483
"36",3.5,22.4190693939394,-0.911022222222222,3.483
"37",3.6,22.4124994,-1.12323913043478,3.483
"38",3.7,22.4289508910891,-1.01217391304348,3.4825652173913
"39",3.8,22.3960398,-1.09173913043478,3.48182608695652
"40",3.9,22.4168388118812,-0.914,3.483
"42",4.1,22.4354034,-0.903565217391303,3.483
"43",4.2,22.4308191,-0.681369565217391,3.482
"44",4.3,22.4339854,-0.78526086956522,3.483
"45",4.4,22.4620537,-1.01935555555556,3.483
"46",4.5,22.4437846,-1.064,3.483
"47",4.6,22.4607614,-0.860066666666667,3.483
"48",4.7,22.4302503960396,-1.0054,3.48235555555556
"50",4.9,22.4452743,-0.96316,3.483
"51",5,22.4376926,-0.961086956521741,3.483
"52",5.1,22.428807,-0.797999999999997,3.482
"53",5.2,22.4060371,-0.839000000000002,3.4835
"54",5.3,22.4355381818182,-1.03791489361702,3.483
"55",5.4,22.4440752,-0.96325,3.483
"56",5.5,22.4385906,-0.826510638297877,3.483
"57",5.6,22.4213418,-1.152,3.48525
"58",5.7,22.4151532,-0.804666666666667,3.48283333333333
"59",5.8,22.4202143434343,-1.06125,3.483
"60",5.9,22.4435561764706,-0.786187500000003,3.483
"61",6,22.4227341414141,-0.839479999999999,3.48324
"62",6.1,22.4319253465347,-0.708750000000002,3.483
"63",6.2,22.4301168,-0.978145833333333,3.483
"64",6.3,22.4206592079208,-0.820875000000004,3.483
"65",6.4,22.39758,-0.762479166666667,3.483
"66",6.5,22.3981658585859,-0.849,3.4835
"67",6.6,22.39758,-1.012,3.48375
"68",6.7,22.37252,-0.953872340425532,3.483
"70",6.9,22.3867664,-1.03416504854369,3.483
"71",7,22.4121028282828,-0.927494845360824,3.4830618556701
"72",7.1,22.4070532673267,-1.01727272727273,3.48381818181818
"73",7.2,22.3860241414141,-0.932376237623762,3.48269306930693
"74",7.3,22.3953307920792,-0.932029411764705,3.48847058823529
"75",7.4,22.3994873,-0.728757575757575,3.483
"76",7.5,22.4151541414141,-1.02868,3.483
"77",7.6,22.4245970588235,-0.8722,3.483
"79",7.8,22.4294744,-0.73923,3.483
"80",7.9,22.4150192,-0.735621621621621,3.483
"81",8,22.4112094949495,-0.830216216216217,3.483
"82",8.1,22.4338845544554,-0.985448979591833,3.484
"83",8.2,22.4428317171717,-1.2876,3.484
"84",8.3,22.4242647524752,-0.98174,3.48393
"85",8.4,22.4187012121212,-0.88362,3.483
"86",8.5,22.4324118,-1.03390677966102,3.483
"87",8.6,22.4265105940594,-0.975432203389831,3.483
"88",8.7,22.4454970707071,-0.844026548672565,3.483
"89",8.8,22.4596446534653,-0.724557522123893,3.483
"90",8.9,22.4465041414141,-0.773148514851483,3.483
"91",9,22.4457902,-0.998840000000001,3.48307
"92",9.1,22.4390682,-0.737939130434782,3.48406086956522
"93",9.2,22.4458675757576,-0.837069565217392,3.48493043478261
"94",9.3,22.4704166336634,-0.987199999999999,3.48208
"95",9.4,22.4527987878788,-0.8662,3.483
"96",9.5,22.4741068,-0.909399999999999,3.483
"97",9.6,22.4439943,-0.998599999999998,3.483
"98",9.7,22.45642,-1.15933333333333,3.483
"99",9.8,22.4566941176471,-0.928849999999999,3.483
"100",9.9,22.4633392929293,-0.727183333333332,3.483
"101",10,22.4600484158416,-1.71980909090909,3.483
"102",10.1,22.46457,-2.21708181818182,3.483
"103",10.2,22.4639992,-2.27649514563107,3.483
"104",10.3,22.4362953465347,-2.70223469387755,3.48305102040816
"105",10.4,22.4495181818182,-2.788,3.48407
"106",10.5,22.4588748514851,-2.87850495049505,3.48472277227723
"107",10.6,22.494213030303,-2.84675221238938,3.48110619469026
"108",10.7,22.4891558,-2.87595575221239,3.48287610619469
"109",10.8,22.4670048,-2.82471875,3.483
"110",10.9,22.47214,-2.84406060606061,3.483
