"","time_point","temperature","load","voltage","force"
"1",0,22.9473670676692,-4.17326086956522,3.695,-18.5635824652174
"2",0.1,22.96654,-4.2533850931677,3.695,-18.9199926391304
"4",0.3,22.9478166666667,-4.31092,3.696,-19.1759205624
"6",0.5,22.9656877443609,-4.27686956521739,3.696,-19.0244567373913
"7",0.6,22.95959,-4.44166292134831,3.69534831460674,-19.75749384
"9",0.8,22.957415,-4.21233658536585,3.69779512195122,-18.7373998457561
"10",0.9,22.9441517647059,-4.10599512195122,3.69730731707317,-18.2643696213659
"11",1,22.9549805263158,-4.26943859649123,3.69635087719298,-18.9914021536842
"13",1.2,22.9563585820896,-4.57059166666667,3.696,-20.3309972635
"14",1.3,22.9644131313131,-4.59475833333333,3.696,-20.4384959135
"15",1.4,22.9451,-4.30489361702128,3.696,-19.1491138851064
"16",1.5,22.9474827272727,-4.40172307692308,3.696,-19.5798326252308
"18",1.7,23.021718880597,-5.14468421052632,3.696,-22.8846871989474
"19",1.8,23.055442761194,-5.50908064516129,3.696,-24.5056027074193
"20",1.9,23.1027852,-6.06253731343284,3.695,-26.9674997283582
"21",2,23.1127636363636,-4.79847169811321,3.696,-21.3446577769811
"23",2.2,23.1255425,-4.4276835443038,3.69555696202532,-19.695310495443
"24",2.3,23.1212,-4.3075945945946,3.69727027027027,-19.1611284275676
"26",2.5,23.1392487969925,-4.65132724252492,3.69594850498339,-20.6901268667442
"28",2.7,23.1263924242424,-5.20182558139535,3.69561627906977,-23.1388645876744
"29",2.8,23.12815,-5.47707475083056,3.69545016611296,-24.3632334481395
"30",2.9,23.1011037373737,-5.75232392026578,3.69528405315615,-25.5876023086047
"31",3,23.08473,-6.027573089701,3.69511794019934,-26.8119711690698
"33",3.2,23.076045,-6.43445263157895,3.696,-28.6218608848421
"34",3.3,23.084401641791,-6.42291111111111,3.696,-28.5705216626667
"35",3.4,23.058761641791,-5.70804347826087,3.696,-25.3906331608696
"36",3.5,23.04709,-5.22833333333333,3.696,-23.2567769
"38",3.7,23.0741872180451,-6.014,3.696,-26.75159508
"40",3.9,23.0276493233083,-6.13655555555556,3.696,-27.2967491533333
"41",4,23.0046742,-6.121,3.696,-27.22755462
"42",4.1,22.9931927941176,-6.29270967741936,3.69537096774194,-27.9913570412903
"43",4.2,22.9901716541353,-6.21,3.69576470588235,-27.6234462
"45",4.4,22.985385,-6.57908695652174,3.696,-29.2652261817391
"46",4.5,23.001813,-6.5735,3.696,-29.24037417
"47",4.6,22.9931049253731,-6.82618867924528,3.695,-30.3643890067925
"48",4.7,22.9857921052632,-7.27381355932203,3.69530508474576,-32.3555229508475
"49",4.8,22.9827613432836,-7.46418461538461,3.696,-33.2023352898461
"50",4.9,22.9858942105263,-6.7385593220339,3.696,-29.9745943474576
"51",5,22.9967579104478,-6.57190909090909,3.696,-29.2332974563636
"52",5.1,22.9988120895522,-6.33382608695652,3.696,-28.1742518765217
"54",5.3,23.0012993069307,-5.98287272727273,3.696,-26.6131341229091
"55",5.4,22.9789936363636,-5.82641891891892,3.696,-25.9171931635135
"57",5.6,22.9738515151515,-6.09153191489362,3.696,-27.0964740944681
"59",5.8,22.9591137313433,-6.45949152542373,3.696,-28.7332393932204
"60",5.9,22.9735166917293,-7.35781818181818,3.696,-32.7291939927273
"61",6,22.9955286567164,-6.73209677419355,3.696,-29.9458475129032
"62",6.1,22.9981757894737,-6.58137313432836,3.696,-29.2753956035821
"63",6.2,23.0040519,-6.33771929824562,3.696,-28.1915697368421
"64",6.3,22.9872455223881,-6.1222909090909,3.69665454545455,-27.2332968676363
"65",6.4,22.9805390225564,-5.95973913043478,3.696,-26.5102307947826
"66",6.5,22.9925945588235,-5.7995061728395,3.696,-25.7974793481481
"67",6.6,22.9957779699248,-5.86814285714286,3.696,-26.10279042
"68",6.7,23.01059,-5.93830952380952,3.696,-26.41490719
"70",6.9,23.0011403,-6.07779104477612,3.69523880597015,-27.035351681194
"71",7,22.9832547761194,-6.10242592592592,3.696,-27.1449330522222
"72",7.1,22.9722278947368,-6.23028571428571,3.696,-27.71368152
"73",7.2,22.9582989552239,-6.78551851851851,3.696,-30.1834791844444
"74",7.3,22.9495686466165,-7.119,3.696,-31.66687818
"75",7.4,22.9474738,-7.453,3.696,-33.15258366
"76",7.5,22.9538765671642,-7.25862962962963,3.69685185185185,-32.2879814911111
"77",7.6,22.9695139097744,-6.79664705882353,3.69598039215686,-30.23298138
"78",7.7,22.9978392537313,-6.49927272727273,3.696,-28.9101949309091
"79",7.8,22.9567597744361,-6.5168932038835,3.696,-28.9885746873786
"80",7.9,22.9467597979798,-6.4910701754386,3.696,-28.8737081757895
"81",8,22.9406758208955,-6.49181818181818,3.69590909090909,-28.8770354727273
"82",8.1,22.9671505263158,-6.422,3.69633333333333,-28.56646884
"83",8.2,22.9688253731343,-6.25728571428571,3.69571428571429,-27.83378346
"84",8.3,22.9670894736842,-6.12223076923077,3.695,-27.2330293523077
"85",8.4,22.9653686,-5.83610416666667,3.696,-25.96027527625
"86",8.5,22.9643079104478,-5.59613043478261,3.696,-24.8928193226087
"87",8.6,22.9521084210526,-5.70932467532467,3.69512987012987,-25.3963322072727
"88",8.7,22.9635038235294,-5.73547826086957,3.69595652173913,-25.5126691095652
"89",8.8,22.9523378195489,-6.041,3.695,-26.87169702
"90",8.9,22.9329188059702,-6.13994230769231,3.69765384615385,-27.3118141719231
"91",9,22.9346773134328,-6.44212962962963,3.696,-28.6560098611111
"93",9.2,23.0109098507463,-6.47331578947368,3.696,-28.7947327610526
"94",9.3,23.0315777443609,-6.47211267605634,3.69569014084507,-28.7893810478873
"95",9.4,23.0302986567164,-6.42765384615385,3.69696153846154,-28.5916183915385
"96",9.5,23.0339785714286,-6.25639130434783,3.6955652173913,-27.8298049278261
"97",9.6,23.0430592929293,-6.14235593220339,3.695,-27.3225505047458
"98",9.7,23.0450132835821,-5.92391666666667,3.696,-26.350884595
"99",9.8,23.0191857894737,-5.68724,3.696,-25.2980947128
"100",9.9,23.0307395522388,-5.60991836734694,3.69565306122449,-24.95415108
"101",10,23.0497710526316,-5.802375,3.695703125,-25.8102405225
"102",10.1,23.0617328,-6.06786301369863,3.695,-26.9911896147945
