"","time_point","temperature","load","voltage","force"
"1",0,22.845327443609,-1.97407462686567,3.40559701492537,-8.78111823671642
"2",0.1,22.8453201492537,-1.93,3.406,-8.5850646
"3",0.2,22.852232,-2.13684444444444,3.406,-9.50515419466667
"4",0.3,22.8601414285714,-1.7841320754717,3.40530188679245,-7.93621198075472
"5",0.4,22.8444940909091,-1.9464347826087,3.40669565217391,-8.65817012869565
"6",0.5,22.8700257894737,-1.9736,3.406,-8.779006992
"7",0.6,22.8800617647059,-1.98347692307692,3.406,-8.82294171876923
"8",0.7,22.8518469924812,-2.03636363636364,3.406,-9.05819345454545
"9",0.8,22.8318593069307,-2.017,3.406,-8.97205974
"11",1,22.8189657894737,-1.80210909090909,3.40585454545455,-8.01617770036364
"12",1.1,22.8249494029851,-2.02357142857143,3.40368571428571,-9.0012909
"13",1.2,22.8261420300752,-2.03214285714286,3.40597142857143,-9.0394185
"14",1.3,22.8412336363636,-2.00534426229508,3.40654918032787,-8.92021245442623
"15",1.4,22.835257,-1.97295,3.406,-8.776115649
"16",1.5,22.8390075373134,-1.98795,3.406,-8.842838949
"17",1.6,22.8721659701493,-2.00295,3.406,-8.909562249
"18",1.7,22.8931354887218,-2.01795,3.406,-8.976285549
"19",1.8,22.9240641791045,-2.03295,3.406,-9.043008849
"20",1.9,22.9232422,-1.9941095890411,3.406,-8.87023815616438
"21",2,22.9353826315789,-1.96076119402985,3.406,-8.72189715850746
"22",2.1,22.9171271212121,-3.73226666666667,3.406,-16.601943232
"23",2.2,22.9164663157895,-4.5235652173913,3.4074347826087,-20.1218132713043
"24",2.3,22.9372526470588,-4.9088125,3.4059375,-21.83547793875
"25",2.4,22.9354287969925,-5.25998717948718,3.40691025641026,-23.3975801715385
"26",2.5,22.9041693,-5.21250877192982,3.406,-23.1863857694737
"27",2.6,22.9288067164179,-5.25485185185185,3.406,-23.3747371044444
"28",2.7,22.9310293939394,-5.16408888888889,3.406,-22.9710034773333
"29",2.8,22.9455144776119,-3.71823404255319,3.40548936170213,-16.539523032766
"30",2.9,22.9383231578947,-2.016,3.406,-8.96761152
"31",3,22.9328764179104,-1.94581818181818,3.406,-8.65542735272727
"32",3.1,22.9539243564356,-3.11077777777778,3.406,-13.8374239266667
"33",3.2,22.9502153383459,-4.21736734693878,3.40734693877551,-18.75977778
"34",3.3,22.9197346268657,-4.82134782608696,3.40530434782609,-21.4464158269565
"35",3.4,22.9337136842105,-5.25948888888889,3.40695555555556,-23.3953636653333
"36",3.5,22.9424164179104,-5.16091111111111,3.406,-22.9568680226667
"37",3.6,22.9071796,-5.134,3.406,-22.83716148
"38",3.7,22.8766094736842,-4.9862,3.4056,-22.179714564
"39",3.8,22.8513379104478,-4.86133333333333,3.40526666666667,-21.62428016
"40",3.9,22.8658043939394,-4.952125,3.40654166666667,-22.0281414675
"41",4,22.8673786567164,-4.771,3.406,-21.22245762
"42",4.1,22.8429195,-4.7005,3.406,-20.90885811
"43",4.2,22.8368668421053,-4.13,3.40634782608696,-18.3711486
"44",4.3,22.850342238806,-3.96767391304348,3.40584782608696,-17.6490864534783
"45",4.4,22.8422032575758,-4.01630612244898,3.40595918367347,-17.86541322
"46",4.5,22.8379752941176,-3.95665217391304,3.406,-17.6000593330435
"47",4.6,22.8343768421053,-3.98944680851064,3.406,-17.7459370825532
"48",4.7,22.8472688,-4.54878260869565,3.40460869565217,-20.2339857756522
"49",4.8,22.828923880597,-4.89747058823529,3.40564705882353,-21.78502662
"50",4.9,22.8249291666667,-4.98176119402985,3.40676119402985,-22.1599697785075
"51",5,22.8269582089552,-4.78654716981132,3.406,-21.2916148516981
"52",5.1,22.808009924812,-4.78928846153846,3.406,-21.3038087203846
"53",5.2,22.8128637313433,-4.13,3.40502816901408,-18.3711486
"54",5.3,22.8307181188119,-3.97934782608696,3.40569565217391,-17.7010145869565
"55",5.4,22.8406115789474,-4.00781132075472,3.40558490566038,-17.8276264732075
"56",5.5,22.8455453731343,-3.94195652173913,3.406,-17.5346898391304
"57",5.6,22.8508857894737,-3.99639130434783,3.406,-17.7768277278261
"58",5.7,22.8436664179104,-4.03547169811321,3.406,-17.9506659169811
"59",5.8,22.7875665,-4.34922641509434,3.40554716981132,-19.3463159241509
"60",5.9,22.7769136842105,-4.34821739130435,3.40669565217391,-19.3418275643478
"61",6,22.7575904477612,-4.1844347826087,3.406,-18.6132864886957
"62",6.1,22.7581061363636,-4.14460869565217,3.406,-18.4361312921739
"63",6.2,22.765903880597,-5.3094074074074,3.406,-23.6174122177777
"64",6.3,22.7701609022556,-5.5487037037037,3.40507407407407,-24.6818547888889
"65",6.4,22.7753288,-5.47926086956522,3.40610869565217,-24.3729577852174
"66",6.5,22.7638664179104,-5.35082089552239,3.406,-23.8016285238806
"67",6.6,22.7441463636364,-5.20455072463768,3.406,-23.1509866243478
"68",6.7,22.7346694117647,-5.0661875,3.406,-22.53551656125
"69",6.8,22.7471454135338,-4.841625,3.40529166666667,-21.5366131575
"70",6.9,22.770622238806,-4.34027083333333,3.40720833333333,-19.30647952625
"71",7,22.770574950495,-4.25511111111111,3.406,-18.9276703466667
"72",7.1,22.7698884210526,-4.21003571428571,3.406,-18.727165065
"73",7.2,22.7873644117647,-4.39747916666666,3.406,-19.56095477875
"74",7.3,22.7738536363636,-5.60431481481481,3.4057962962963,-24.9292252455555
"75",7.4,22.7820153731343,-5.500375,3.4068125,-24.4668780825
"76",7.5,22.7678805,-5.4365,3.406,-24.18274803
"77",7.6,22.7528910526316,-5.20954901960784,3.406,-23.17322014
"78",7.7,22.7787082089552,-5.07866071428571,3.406,-22.5910001625
"79",7.8,22.7878215909091,-4.91795833333333,3.40502083333333,-21.8761606175
"80",7.9,22.800318358209,-4.68282352941176,3.406,-20.83022928
"81",8,22.7899044,-4.624,3.406,-20.56856928
"82",8.1,22.7872972180451,-4.607125,3.406,-20.4935055675
"83",8.2,22.7976343283582,-4.65687878787879,3.40687878787879,-20.7148213618182
"84",8.3,22.7835336363636,-4.61392156862745,3.40658823529412,-20.5237382
"85",8.4,22.7855641176471,-4.49571428571429,3.40671428571429,-19.9979262
"86",8.5,22.8007478947368,-2.73648979591839,3.406,-12.1725086400001
"87",8.6,22.7898839,-2.24371084337349,3.406,-9.98051944771084
"88",8.7,22.7807255223881,-2.40169491525424,3.406,-10.6832673559322
"89",8.8,22.7840481818182,-2.75427272727273,3.407,-12.2516110309091
"90",8.9,22.7694752941176,-3.40557894736842,3.406,-15.1487643852632
"91",9,22.7615154545455,-4.42025,3.406,-19.662244455
"92",9.1,22.733402238806,-4.5451875,3.406,-20.21799394125
"93",9.2,22.7648059405941,-4.67572916666667,3.406,-20.79867199375
"94",9.3,22.770474887218,-4.59515384615384,3.40880769230769,-20.4402552415385
"95",9.4,22.7766916176471,-4.5504347826087,3.406,-20.2413350086957
"96",9.5,22.7726823484848,-3.97028260869567,3.40602173913044,-17.6606905056522
"97",9.6,22.768421641791,-2.22730434782609,3.406,-9.90753974608695
"98",9.7,22.7557548,-2.38604347826087,3.40615217391304,-10.6136463208695
"99",9.8,22.7802495488722,-3.04632608695653,3.40667391304348,-13.5507286265218
"100",9.9,22.8200414925373,-3.40110638297872,3.406,-15.1288694348936
"101",10,22.853324962406,-3.17995652173913,3.406,-14.1451461991304
"102",10.1,22.8955480597015,-2.91178873239437,3.406,-12.9522768752113
"103",10.2,22.9022854545455,-2.71688524590164,3.406,-12.0853032885246
"104",10.3,22.9018928712871,-2.64036842105263,3.40626315789474,-11.7449396178947
"105",10.4,22.92335,-2.54510869565217,3.406,-11.3212034021739
"106",10.5,22.9218563909774,-2.38797826086957,3.406,-10.6222526595652
"107",10.6,22.9019070588235,-1.852,3.406,-8.23810344000001
"108",10.7,22.9065563636364,-1.80308695652174,3.40558695652174,-8.02052746173913
"109",10.8,22.9310094117647,-1.69847826086957,3.40486956521739,-7.55520496956522
"110",10.9,22.935472,-1.52612765957447,3.406,-6.78855157787234
"111",11,22.9257942857143,-2.4005,3.406,-10.67795211
"112",11.1,22.9094897058824,-2.93471739130435,3.406,-13.0542685943478
"113",11.2,22.9121289473684,-2.6944081632653,3.406,-11.98532028
"114",11.3,22.9330747761194,-2.62264705882353,3.40637254901961,-11.6661111
"115",11.4,22.9140436363636,-2.54486956521739,3.406,-11.3201396973913
"116",11.5,22.9113994029851,-2.36442592592593,3.406,-10.5174866922222
"117",11.6,22.9308987878788,-1.78256,3.406,-7.92921904320001
"118",11.7,22.9063228571429,-1.80382142857143,3.40555357142857,-8.023794555
"119",11.8,22.9143859701493,-1.68882608695652,3.40495652173913,-7.51226997652173
"120",11.9,22.91114,-1.51726086956522,3.406,-6.74911014521739
"121",12,22.8960020895522,-2.3340909090909,3.406,-10.3825498636363
"122",12.1,22.8733281818182,-2.62878260869565,3.406,-11.6934033756522
"123",12.2,22.8559154887218,-2.77265384615385,3.406,-12.3333742915385
"124",12.3,22.8348123529412,-2.95421739130435,3.40652173913043,-13.1410088843478
"125",12.4,22.8510245454545,-3.03882978723404,3.40653191489362,-13.5173834361702
"126",12.5,22.8481323762376,-3.19852173913044,3.406,-14.2277283704348
"127",12.6,22.8594609090909,-3.1574375,3.406,-14.04497663625
"128",12.7,22.8454116541353,-3.14,3.40692307692308,-13.9674108
"129",12.8,22.8301792537313,-3.09,3.405,-13.7449998
"130",12.9,22.8414693181818,-3.09021739130435,3.40697826086957,-13.7459668043478
"131",13,22.8248201492537,-3.11553571428571,3.406,-13.858588275
"132",13.1,22.8127458415842,-2.62721739130435,3.406,-11.6864409443478
"133",13.2,22.8148969924812,-2.7558085106383,3.406,-12.2584425331915
"134",13.3,22.8309905882353,-2.89677777777778,3.40685185185185,-12.8855048466667
"135",13.4,22.8359178947368,-3.02785714285714,3.406,-13.4685747
"136",13.5,22.8407228358209,-3.19734782608696,3.40604347826087,-14.2225065469565
"137",13.6,22.8187881818182,-3.14613043478261,3.406,-13.9946803226087
"138",13.7,22.8270801492537,-3.16847826086956,3.406,-14.0940883695652
"139",13.8,22.8409536363636,-3.11695652173913,3.40586956521739,-13.8649083391304
"140",13.9,22.8397777443609,-3.11864705882353,3.40647058823529,-13.87242822
"141",14,22.7905868656716,-3.06113043478261,3.406,-13.6165816226087
"142",14.1,22.8040092481203,-2.89396226415094,3.406,-12.8729808226415
"143",14.2,22.8470932,-2.96356,3.40634,-13.1825668632
"144",14.3,22.8757366666667,-2.73095744680851,3.40610638297872,-12.1478995340426
"145",14.4,22.88138,-1.6964074074074,3.40648148148148,-7.54599335777774
"146",14.5,22.8849072058824,-1.12973913043478,3.406,-5.0253281947826
"147",14.6,22.8749243609023,-1.88902173913043,3.406,-8.40278428043476
"148",14.7,22.8824253731343,-2.30667391304348,3.40580434782609,-10.2605930334783
"149",14.8,22.8713609,-2.78491304347827,3.40582608695652,-12.3879058982609
"150",14.9,22.8645861654135,-3.05059574468085,3.40604255319149,-13.5697210034042
"151",15,22.8916095522388,-3.01427868852459,3.406,-13.4081747478689
"152",15.1,22.8686069172932,-3.17323076923077,3.40507692307692,-14.1152285723077
"153",15.2,22.8840441791045,-2.854,3.407,-12.69521988
"154",15.3,22.8546418181818,-2.844,3.40513043478261,-12.65073768
"155",15.4,22.8483267164179,-1.11410169491527,3.40603389830509,-4.95576944135599
"156",15.5,22.8692144776119,-1.383,3.406,-6.15188826000001
"157",15.6,22.8755392481203,-1.97915094339622,3.406,-8.80369880943394
"158",15.7,22.8872644776119,-2.33782978723404,3.40587234042553,-10.3991812161702
"159",15.8,22.8818038383838,-2.81552173913043,3.40617391304348,-12.5240601104348
"160",15.9,22.8859226865672,-3.10701818181818,3.406,-13.8207004167273
"161",16,22.8912478787879,-3.48363043478261,3.406,-15.4959545726087
"162",16.1,22.8806371428571,-3.56517021276595,3.40629787234043,-15.8586614438298
"163",16.2,22.8709608823529,-3.77404255319149,3.40770212765957,-16.7877715659574
"164",16.3,22.8402569924812,-3.61995652173914,3.40634782608696,-16.1023629991305
"165",16.4,22.8323044,-3.28675471698113,3.406,-14.6202080671698
"166",16.5,22.8126015151515,-3.17765957446813,3.406,-14.1349288723406
"167",16.6,22.8245157142857,-5.99508955223877,3.406,-26.6674772480596
"168",16.7,22.8407232835821,-6.41254545454545,3.40636363636364,-28.5244129418182
"169",16.8,22.8396152238806,-6.07771153846154,3.406,-27.0349980196154
"170",16.9,22.8339005970149,-5.89253191489362,3.406,-26.2112783144681
"171",17,22.8245877,-4.08904347826081,3.406,-18.1889649808693
"172",17.1,22.8449420149254,-3.52472727272727,3.406,-15.6787623490909
"173",17.2,22.8294080597015,-3.77548936170213,3.40795744680851,-16.7942072885106
"174",17.3,22.8108690909091,-3.72737931034483,3.40624137931034,-16.5802031958621
"175",17.4,22.8088985074627,-3.39730434782609,3.40615217391304,-15.111957146087
"176",17.5,22.8041396969697,-2.90426086956521,3.406,-12.9187912852174
"177",17.6,22.8005750746269,-5.72146,3.406,-25.4503128012
"178",17.7,22.8220754545455,-6.41785454545455,3.40643636363636,-28.5480289461818
"179",17.8,22.8468142857143,-6.08036170212766,3.406,-27.0467865306383
"180",17.9,22.8628417910448,-5.90031914893617,3.406,-26.2459176446809
"181",18,22.83546,-5.8855,3.406,-26.17999881
"182",18.1,22.8354885,-5.98582608695652,3.406,-26.6262713165217
"183",18.2,22.8390620895522,-6.22430434782609,3.405,-27.687075086087
"184",18.3,22.8826709090909,-6.32261403508772,3.406,-28.1243782031579
"185",18.4,22.8970794117647,-6.4404375,3.406,-28.64848289625
"186",18.5,22.9014342857143,-6.52921276595745,3.406,-29.0433748097873
"187",18.6,22.9240028358209,-6.71176271186441,3.40576271186441,-29.8553971301695
"188",18.7,22.9208773267327,-6.84316981132076,3.40749056603774,-30.4399248181132
"189",18.8,22.9182237593985,-7.39393103448275,3.40789655172414,-32.8898319062069
"190",18.9,22.912888358209,-7.723,3.406,-34.35360306
"191",19,22.9021712781955,-6.323,3.406,-28.12609506
"192",19.1,22.8881041791045,-5.98650909090909,3.406,-26.6293094683636
"193",19.2,22.9019886,-6.22154716981133,3.40501886792453,-27.6748105516982
"194",19.3,22.8938227272727,-6.32104347826087,3.406,-28.1173920208696
"195",19.4,22.8804343283582,-6.2915294117647,3.406,-27.98610696
"196",19.5,22.8692028571429,-6.49330434782609,3.406,-28.883646266087
"197",19.6,22.8679159701493,-6.71404255319149,3.40572340425532,-29.8655383659574
"198",19.7,22.8645048,-6.94654347826088,3.40676086956522,-30.8997536308696
"199",19.8,22.8618214285714,-7.41433333333333,3.40729824561404,-32.98058582
"200",19.9,22.8673265151515,-7.089,3.406,-31.53343158
"201",20,22.8671170676692,-6.34439130434783,3.406,-28.2212482878261
"202",20.1,22.8499008823529,-6.464,3.40686956521739,-28.75329408
"203",20.2,22.8373657142857,-6.28738461538462,3.40611538461538,-27.9676699938462
"204",20.3,22.836358,-6.27166153846153,3.40693846153846,-27.8977302886154
"205",20.4,22.8121536363636,-6.38,3.406,-28.3796436
"206",20.5,22.8369528571429,-6.4184347826087,3.406,-28.5506099686957
"207",20.6,22.8136774626866,-6.2965652173913,3.406,-28.0085073313043
"208",20.7,22.8047115789474,-6.49155319148937,3.40697872340426,-28.8758567374468
"209",20.8,22.7943474626866,-6.69910416666667,3.40510416666667,-29.79908913625
"210",20.9,22.8243174257426,-6.59521739130435,3.406,-29.3369779043478
"211",21,22.8050257142857,-7.48210869565217,3.40619565217391,-33.2820655421739
"212",21.1,22.7827691044776,-6.48467924528302,3.4068679245283,-28.8452799124529
"213",21.2,22.7964814285714,-6.29878125,3.406,-28.018364731875
"214",21.3,22.8260667164179,-6.27610869565218,3.407,-27.9175122221739
"215",21.4,22.8221022,-6.38652941176471,3.406,-28.40868786
"216",21.5,22.8263428571429,-6.41240425531915,3.406,-28.5237848565958
"217",21.6,22.8168798507463,-6.28575510204081,3.406,-27.96042156
"218",21.7,22.8042095454545,-6.4314705882353,3.40660784313725,-28.6085961
"219",21.8,22.8079280597015,-6.68350909090909,3.40541818181818,-29.7297188083636
"220",21.9,22.8044080451128,-6.62646428571428,3.406,-29.475970965
"221",22,22.8158222,-7.14253191489363,3.406,-31.7715533144682
"222",22.1,22.8068286567164,-7.63527272727273,3.406,-33.9633728509091
"223",22.2,22.7944609090909,-8.01578723404255,3.40793617021277,-35.6559850902127
"224",22.3,22.8008975,-7.5598,3.4052,-33.627653556
"225",22.4,22.8235590225564,-7.2774406779661,3.406,-32.3716571725424
"226",22.5,22.8093117910448,-6.99082978723404,3.406,-31.0967488761702
"227",22.6,22.7774697029703,-6.86768085106382,3.406,-30.5489553153191
"228",22.7,22.7601260606061,-6.82545283018868,3.40660377358491,-30.3611157883019
