"","time_point","temperature","load","voltage","force"
"1",0,23.1035797029703,-4.80930508474576,3.646,-21.3928470640678
"3",0.2,23.169206,-5.00828070175439,3.64682456140351,-22.2779343831579
"4",0.3,23.1696853465346,-4.8206875,3.646,-21.44347855125
"5",0.4,23.15822,-5.01730434782609,3.646,-22.318073546087
"6",0.5,23.16632,-5.17950746268657,3.646,-23.0395886856716
"8",0.7,23.1737184158416,-4.9594,3.64382222222222,-22.060502268
"10",0.9,23.1802635,-5.13325510204082,3.646,-22.83384801
"11",1,23.1864299009901,-5.0412,3.646,-22.424366664
"13",1.2,23.1925936633663,-4.88717021276596,3.64610638297872,-21.7392082838298
"15",1.4,23.1912594,-5.09239583333333,3.646,-22.65209699375
"16",1.5,23.19824,-4.89320833333333,3.646,-21.7660671725
"17",1.6,23.209292,-5.26193333333333,3.646,-23.406237092
"18",1.7,23.225220990099,-5.14911111111111,3.646,-22.9043790266667
"20",1.9,23.2213130693069,-5.05093333333333,3.646,-22.467662672
"21",2,23.22762,-5.01685416666667,3.646,-22.31607104125
"22",2.1,23.23803,-4.98168888888889,3.646,-22.1596481493333
"23",2.2,23.20448,-4.96445,3.646,-22.082965779
"25",2.4,23.236187029703,-5.29576086956522,3.64658695652174,-23.5567094152174
"27",2.6,23.2509788,-9.94264285714286,3.646,-44.22706281
"28",2.7,23.2758643,-10.8015333333333,3.646,-48.047596604
"29",2.8,23.3011798989899,-11.1188222222222,3.64531111111111,-49.4589673853333
"30",2.9,23.3149703960396,-17.1820740740741,3.64525925925926,-76.4296455377778
"31",3,23.31902,-9.66748936170214,3.646,-43.0031195285107
"32",3.1,23.3260188,-5.0735,3.646,-22.56804417
"33",3.2,23.3330259405941,-4.92939655172414,3.646,-21.9270403293103
"34",3.3,23.3432836,-3.91995652173913,3.6460652173913,-17.4368289991304
"35",3.4,23.3495856435644,-6.04183673469388,3.64591836734694,-26.875419
"37",3.6,23.4003306,-10.5094444444444,3.646,-46.7483209666667
"38",3.7,23.3932406,-10.2201458333333,3.646,-45.46145709875
"39",3.8,23.371774,-12.7815507246377,3.6453768115942,-56.8551495643478
"40",3.9,23.3972143,-18.5093913043478,3.64469565217391,-82.3338445878261
"41",4,23.4264136,-25.4651111111111,3.646,-113.274416546667
"42",4.1,23.4327332,-28.6415217391304,3.646,-127.403789830435
"43",4.2,23.4350356,-35.8744285714286,3.646,-159.57735066
"44",4.3,23.4359017,-46.1323018867925,3.646,-205.206627898868
"45",4.4,23.4665985,-56.1206739130435,3.64482608695652,-249.637104113478
"46",4.5,23.4507023,-64.2234423076923,3.646,-285.680000541923
"47",4.6,23.4601459,-76.017826923077,3.646,-338.144018075769
"48",4.7,23.4905107,-90.310320754717,3.646,-401.720174987547
"49",4.8,23.498837979798,-101.933857142857,3.64385714285714,-453.42422202
"50",4.9,23.5324962376238,-91.9420000000001,3.64430434782609,-408.97824324
"51",5,23.5588208,-26.0959565217391,3.646,-116.08055571913
"52",5.1,23.5371315,-28.8014347826087,3.646,-128.115118228696
"53",5.2,23.538541,-38.0088260869565,3.646,-169.071620376521
"54",5.3,23.5654747474747,-48.2620392156863,3.646,-214.68016808
"55",5.4,23.5759822,-59.4984905660377,3.64588679245283,-264.66237570566
"56",5.5,23.5886342,-65.8753913043478,3.646,-293.028233107826
"57",5.6,23.6279500990099,-80.9415625,3.646,-360.04587714375
"58",5.7,23.6725681,-93.2567272727272,3.64561818181818,-414.826439389091
"59",5.8,23.7280559,-105.981204081633,3.645,-471.42771162
"60",5.9,23.7513583,-118.740111111111,3.645,-528.182137046667
"61",6,23.7468789,-135.745775510204,3.646,-603.82707354
"62",6.1,23.8103079,-152.22775,3.646,-677.142522105
"63",6.2,23.9473085999999,-169.743375,3.643375,-755.0558755425
"64",6.3,35.8576734,-184.517,3.64808333333333,-820.77220974
"65",6.4,44.8678604040404,-212.092,3.646,-943.43187624
"66",6.5,46.0275814,-230.826,3.646,-1026.76482972
"67",6.6,46.4929938,-257.171,3.646,-1143.95318562
"68",6.7,47.3202074,-275.704836734694,3.64526530612245,-1226.39576886
"69",6.8,48.2476878,-298.977490566038,3.64715094339623,-1329.91765308566
"70",6.9,49.2252624,-247.0042,3.64601818181818,-1098.729022524
"71",7,49.9912896969697,-130.409,3.6455,-580.08792198
"72",7.1,50.7503347524752,-149.089083333333,3.646,-663.181042265
"73",7.2,51.4296088,-167.143145454545,3.64425454545455,-743.489482473818
"74",7.3,52.0662907920792,-181.575,3.647,-807.6855465
"75",7.4,52.7313729,-206.149306122449,3.64644897959184,-916.99746648
"76",7.5,52.6167449494949,-225.928222222222,3.646,-1004.97843665333
"77",7.6,53.3019348,-248.913326530612,3.646,-1107.22123734
"78",7.7,53.9712684,-271.857910714286,3.64566071428571,-1209.2837955975
"79",7.8,54.5958514,-290.647571428572,3.64585714285714,-1292.86434018
"80",7.9,55.2057302,-319.047375,3.646,-1419.1929144225
"81",8,55.9031868,-339.377636363636,3.646,-1509.62638962545
"82",8.1,56.5491454455445,-356.3085,3.646,-1584.93859587
"83",8.2,57.1998150505051,-374.46225,3.6465625,-1665.690469695
"84",8.3,57.7420588,-391.126708333334,3.64558333333333,-1739.8176465425
"85",8.4,58.3201696,-412.088157894737,3.647,-1833.05878571053
"86",8.5,58.881023,-431.385652173913,3.64684782608696,-1918.89828571304
"87",8.6,59.3889046,-422.8066,3.6447,-1880.736774252
"88",8.7,60.0013855555556,-408.357826086956,3.64460869565217,-1816.46544915652
"89",8.8,60.3854543564357,-401.5,3.646,-1785.96033
"90",8.9,60.9062902020202,-396.90626,3.64462,-1765.5263638572
"91",9,61.331227,-362.804130434783,3.63963043478261,-1613.83258908261
"92",9.1,61.7837594,-358.471234042553,3.646,-1594.55891269277
"93",9.2,62.1606584848485,-377.565428571429,3.64685714285714,-1679.49409068
"94",9.3,62.5694401960784,-402.296520833333,3.64695833333333,-1789.50342990125
"95",9.4,63.0292494949495,-420.112347826087,3.647,-1868.75214784696
"96",9.5,63.4455861386139,-431.378260869565,3.64569565217391,-1918.86540756522
"97",9.6,63.9519182,-413.243,3.64444,-1838.19577746
"98",9.7,64.3352124,-404.125434782609,3.64626086956522,-1797.6388415087
"99",9.8,64.7843836633663,-398.630391304348,3.64326086956522,-1773.19567920783
"100",9.9,65.1393286868687,-394.537666666667,3.64288888888889,-1754.99033962
"101",10,65.6177172,-109.084250000001,3.4115,-485.230742535004
"102",10.1,66.0229988,-78.6973695652174,3.55641304347826,-350.063213247391
"103",10.2,66.4006258,-78.4018269230769,3.56886538461538,-348.748574555769
"104",10.3,66.8094672,-78.6067391304348,3.57247826086957,-349.660069134783
"105",10.4,67.1012243434344,-78.7677391304348,3.56908695652174,-350.376232554783
"106",10.5,67.5317634,-78.7474782608696,3.566,-350.286107749565
"107",10.6,67.8598263,-79.287152173913,3.565,-352.686696043043
"108",10.7,68.1974473,-79.5470434782609,3.5619347826087,-353.84274974087
"109",10.8,68.5491307,-185.667627118645,3.59101694915254,-825.8904523017
"110",10.9,68.92598,-339.82204347826,3.54682608695652,-1511.60321024086
"111",11,69.3047099009901,-81.3891276595746,3.497,-362.036745437873
"112",11.1,69.6077952,-78.5312727272727,3.55972727272727,-349.324377970909
"113",11.2,70.0024475247525,-78.4929130434783,3.56960869565217,-349.153745658261
"114",11.3,70.3909538,-78.655,3.57033333333333,-349.8747441
"115",11.4,70.7735386868687,-78.7865319148936,3.56885106382979,-350.459826994468
"116",11.5,71.0562478217822,-78.9548260869565,3.566,-351.208436496522
"117",11.6,71.4435798989899,-79.3134565217391,3.565,-352.80370356913
"118",11.7,71.7729962376238,-79.5626595744681,3.55963829787234,-353.91221357234
"119",11.8,72.2266486868687,-79.7003617021277,3.56489361702128,-354.524742930638
"120",11.9,72.5542942,-79.7166382978723,3.56487234042553,-354.597144809362
"121",12,72.8596453465346,-79.8203913043478,3.56565217391304,-355.058661007826
"122",12.1,73.2674634343434,-79.9609130434783,3.56721739130435,-355.683732618261
"123",12.2,73.6107698019802,-80.130347826087,3.5665652173913,-356.437415806957
"124",12.3,74.0228948,-80.0881304347826,3.56526086956522,-356.249623562609
"125",12.4,74.4241076,-80.2742608695652,3.56426086956522,-357.077572685217
"126",12.5,74.7764784,-80.3337173913043,3.56389130434783,-357.342048374348
"127",12.6,75.2008944444444,-80.4127872340426,3.56468085106383,-357.693768430213
"128",12.7,75.5763556435644,-79.6601304347826,3.56421739130435,-354.345785402609
"129",12.8,75.9578646464647,-79.723,3.565,-354.62544306
"130",12.9,76.2573627,-79.7670517241379,3.56310344827586,-354.821394820345
"131",13,76.5634463,-79.875625,3.568,-355.3043526375
"132",13.1,76.8052251515151,-79.9384680851064,3.566,-355.583892505532
"133",13.2,77.0633723529412,-80.1268196721312,3.56691803278689,-356.421721801967
"134",13.3,77.2738581632653,-80.0573275862069,3.565,-356.112605715517
"135",13.4,77.5318242574257,-80.2965652173913,3.5640652173913,-357.176787331304
"136",13.5,77.8371801,-80.339,3.56392452830189,-357.36554658
"137",13.6,78.0767455,-80.4320638297872,3.56457446808511,-357.779514968936
"138",13.7,78.2818261386139,-80.3850869565217,3.56395652173913,-357.570551501739
"139",13.8,78.5266107070707,-80.3686,3.568,-357.497213892
"140",13.9,78.7680855445544,-80.392125,3.567,-357.6018582675
"141",14,79.0401022222222,-80.5553695652174,3.566,-358.328006007391
"142",14.1,79.3189302,-80.4558510638298,3.56640425531915,-357.885325819149
"143",14.2,79.5551614,-80.6032553191489,3.565,-358.541012375745
