"","dataset_name","severity_description.x","severity_level","Conclusion","second_buy","Label","battery","battery_category","X10_60","X10_75","X10_100","X10_125","X10_150","X40_60","X40_75","X40_100","X40_125","X40_150"
"1","1500mAh1-100S0C","No effect, local heating, internal discharge – 2",2,"TP","76.2",1,"Rec","Lab/Generic",0.518954248366013,0.490909090909091,0.425274725274725,0.348275862068966,0.301418439716312,0.595238095238095,0.537962962962963,0.455191256830601,0.403100775193798,0.328528529
"2","1500mAh1-20S0C","No effect, local heating, internal discharge – 2",2,"TP","73",1,"Rec","Lab/Generic",0.488888888888889,0.392929292929293,0.31978021978022,0.273850574712644,0.2548463356974,0.638095238095238,0.45,0.362295081967213,0.337209302325581,0.299099099
"3","1500mAh1-40S0C","No effect, local heating, internal discharge – 2",2,"FP","71",0,"Rec","Lab/Generic",0.429411764705882,0.346969696969697,0.251648351648352,0.197413793103448,0.166193853427896,0.515873015873016,0.390740740740741,0.244808743169399,0.194573643410853,0.177477477
"4","1500mAh1-60S0C","No effect, local heating, internal discharge – 2",2,"TP","61.7",1,"Rec","Lab/Generic",0.647058823529412,0.566161616161616,0.472161172161172,0.391954022988506,0.335460992907801,0.63015873015873,0.512962962962963,0.416393442622951,0.37093023255814,0.324924925
"5","1500mAh1-80S0C","No effect, local heating, internal discharge – 2",2,"TP","78.9",1,"Rec","Lab/Generic",0.538562091503268,0.443939393939394,0.360805860805861,0.292816091954023,0.26903073286052,0.541269841269841,0.47962962962963,0.407650273224044,0.343410852713178,0.316816817
"6","1500mAh2-100S0C","No effect, local heating, internal discharge – 2",2,"TP","53.2",1,"Rec","Lab/Generic",0.622222222222222,0.541919191919192,0.431135531135531,0.372701149425287,0.333569739952719,0.7,0.599074074074074,0.513114754098361,0.426744186046512,0.35975976
"7","1500mAh2-20S0C","No effect, local heating, internal discharge – 2",2,"TP","61.9",1,"Rec","Lab/Generic",0.495424836601307,0.419191919191919,0.342124542124542,0.268390804597701,0.22080378250591,0.626984126984127,0.559259259259259,0.416939890710382,0.305038759689922,0.275975976
"8","1500mAh2-40S0C","No effect, local heating, internal discharge – 2",2,"TP","85.5",1,"Rec","Lab/Generic",0.62156862745098,0.574747474747475,0.475457875457875,0.401149425287356,0.330023640661939,0.623809523809524,0.537962962962963,0.458469945355191,0.411627906976744,0.359159159
"9","1500mAh2-60S0C","No effect, local heating, internal discharge – 2",2,"TP","75.9",1,"Rec","Lab/Generic",0.372549019607843,0.38989898989899,0.37985347985348,0.361206896551724,0.336406619385343,0.850793650793651,0.662962962962963,0.391256830601093,0.360852713178294,0.328528529
"10","1500mAh2-80S0C","No effect, local heating, internal discharge – 2",2,"TP","75.5",1,"Rec","Lab/Generic",0.47843137254902,0.416161616161616,0.337728937728938,0.286206896551724,0.245862884160756,0.631746031746032,0.547222222222222,0.396174863387978,0.300387596899225,0.252552553
"11","1500mAh3-100S0C","No effect, local heating, internal discharge – 2",2,"TP","72.8",1,"Rec","Lab/Generic",0.605228758169934,0.536363636363636,0.442124542124542,0.387931034482759,0.331678486997636,0.66031746031746,0.557407407407407,0.460109289617486,0.398449612403101,0.316216216
"12","1500mAh3-20S0C","No effect, local heating, internal discharge – 2",2,"TP","64.7",1,"Rec","Lab/Generic",0.583006535947712,0.518181818181818,0.446520146520146,0.413793103448276,0.380378250591016,0.661904761904762,0.548148148148148,0.470491803278689,0.422093023255814,0.375075075
"13","1500mAh3-40S0C","No effect, local heating, internal discharge – 2",2,"TP","69.4",1,"Rec","Lab/Generic",0.465359477124183,0.456565656565657,0.398534798534798,0.36551724137931,0.339243498817967,0.598412698412698,0.568518518518519,0.439344262295082,0.38953488372093,0.350750751
"14","1500mAh3-60S0C","No effect, local heating, internal discharge – 2",2,"TP","67",1,"Rec","Lab/Generic",0.488235294117647,0.46010101010101,0.342124542124542,0.283908045977011,0.233569739952719,0.514285714285714,0.432407407407407,0.332786885245902,0.312790697674419,0.290690691
"15","1500mAh3-80S0C","No effect, local heating, internal discharge – 2",2,"TP","76.9",1,"Rec","Lab/Generic",0.560130718954248,0.494949494949495,0.417582417582418,0.361494252873563,0.314657210401891,0.647619047619047,0.541666666666667,0.438251366120219,0.370542635658915,0.346546547
"16","2000mAh1-100S0C","Moderate effect, extended joule heating, local reactions (no spread) – 3",3,"TP","44.4",1,"Rec","Lab/Generic",0.508496732026144,0.469191919191919,0.380952380952381,0.331896551724138,0.3,0.609523809523809,0.503703703703704,0.431693989071038,0.366666666666667,0.315615616
"17","2000mAh1-20S0C","No effect, local heating, internal discharge – 2",2,"TP","70",1,"Rec","Lab/Generic",0.519607843137255,0.46969696969697,0.441025641025641,0.380172413793103,0.35177304964539,0.536507936507936,0.446296296296296,0.418032786885246,0.350387596899225,0.315315315
"18","2000mAh1-40S0C","No effect, local heating, internal discharge – 2",2,"TP","62.2",1,"Rec","Lab/Generic",0.463398692810457,0.43030303030303,0.375091575091575,0.31264367816092,0.284633569739953,0.612698412698413,0.518518518518518,0.441530054644809,0.375968992248062,0.344744745
"19","2000mAh1-60S0C","Moderate effect, extended joule heating, local reactions (no spread) – 3",3,"TP","55.3",1,"Rec","Lab/Generic",0.471241830065359,0.448484848484848,0.356043956043956,0.295977011494253,0.26241134751773,0.579365079365079,0.50462962962963,0.416393442622951,0.353875968992248,0.31021021
"20","2000mAh1-80S0C","Moderate effect, extended joule heating, local reactions (no spread) – 3",3,"TP","65.8",1,"Rec","Lab/Generic",0.603921568627451,0.562626262626263,0.479120879120879,0.397126436781609,0.346572104018913,0.584126984126984,0.536111111111111,0.44535519125683,0.393798449612403,0.352552553
"21","2000mAh2-100S0C","Moderate effect, extended joule heating, local reactions (no spread) – 3",3,"TP","43.9",1,"Rec","Lab/Generic",0.444444444444444,0.397474747474748,0.354578754578754,0.311206896551724,0.268794326241135,0.634920634920635,0.5,0.412568306010929,0.352325581395349,0.291891892
"22","2000mAh2-20S0C","No effect, local heating, internal discharge – 2",2,"TP","45.8",1,"Rec","Lab/Generic",0.577777777777778,0.51010101010101,0.43003663003663,0.383620689655172,0.331205673758865,0.663492063492063,0.576851851851852,0.454098360655738,0.398062015503876,0.345645646
"23","2000mAh2-40S0C","No effect, local heating, internal discharge – 2",2,"TP","44.9",1,"Rec","Lab/Generic",0.503267973856209,0.473737373737374,0.411721611721612,0.343965517241379,0.282978723404255,0.596825396825397,0.539814814814815,0.45792349726776,0.362403100775194,0.280780781
"24","2000mAh2-60S0C","Moderate effect, extended joule heating, local reactions (no spread) – 3",3,"TP","33.9",1,"Rec","Lab/Generic",0.483006535947712,0.478282828282828,0.458608058608059,0.405459770114942,0.368794326241135,0.62063492063492,0.562037037037037,0.483060109289618,0.422093023255814,0.37957958
