,dataset_name,severity_description,severity_level,temp_03,temp_025,temp_02,temp_035,temp_indice,temperature_detected,second_buy
1,Sorteria-100SOC-cell1,"No effect, instant local Joule heating, no internal discharge – 1",1,21.72556703,21.72556703,21.74862758,21.76899208,2080,21.74862758,NA
2,Sorteria-100SOC-cell2,"No effect, instant local Joule heating, no internal discharge – 1",1,22.369198,22.21756624,22.1732582,22.46598683,1864,22.1732582,NA
3,Soteria-SCC-90SOC-cell1,"No effect, instant local Joule heating, no internal discharge – 1",1,22.94755714,22.94755714,22.94755714,23.15114136,720,22.94755714,NA
4,Soteria-SCC-80SOC-cell1,"No effect, instant local Joule heating, no internal discharge – 1",1,22.947894,22.94558121,22.94558121,22.98018179,1672,22.94558121,NA
5,Soteria-SCC-60SOC-cell1,"No effect, instant local Joule heating, no internal discharge – 1",1,23.27196409,23.1711268,23.15312481,23.29561485,1640,23.15312481,NA
6,Soteria-SCC-20SOC-5180mAh,"No effect, instant local Joule heating, no internal discharge – 1",1,22.92522152,22.89230929,22.8554916,22.96025861,1698,22.8554916,NA
7,OE-LCO-6340mAh-0SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,22.803852,22.73014727,22.6385552,23.0517096,1414,22.6385552,5.2
8,Soteria-SCC-5070-70SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,23.1369387,23.07100179,23.07100179,23.1576848,1620,23.07100179,NA
9,Soteria-SCC-4160mAh-100SOC-8mm,"No effect, instant local Joule heating, no internal discharge – 1",1,23.12356594,23.12356594,23.1408149,23.26302089,1680,23.1408149,NA
10,Soteria-SCC-4720mAh-40SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,23.1306104,23.12248722,23.11423158,23.42044534,1600,23.11423158,NA
11,Soteria-SCC-4700mAh-100SOC-12mm,"No effect, instant local Joule heating, no internal discharge – 1",1,21.72556703,21.72556703,21.72556703,21.76899208,Inf,21.74862758,NA
12,Soteria-SCC-5050mAhr-100SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,22.7695012,22.7695012,22.7695012,22.7695012,1680,22.7695012,NA
13,Soteria-SCC-4870mah-0SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,22.14440636,22.14440636,22.0956194,22.15292909,1584,22.0956194,NA
14,Soteria-SCC-4630mAh-10SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,22.39232071,22.37637098,22.34252455,22.52295636,1228,22.34252455,NA
15,Soteria-SCC-5080mAh-20SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,22.8625201,22.83425545,22.83425545,22.87435515,1428,22.83425545,NA
16,Soteria-SCC-5170mAh-60SOC,"No effect, instant local Joule heating, no internal discharge – 1",1,22.9696276,22.78919,22.52948612,23.00776896,1140,22.52948612,NA
17,OE-LFP10Ah-0SOC-cell9,"No effect, local heating, internal discharge – 2",2,19.65909,19.65909,19.65909,19.82409,588,19.65909,47.4
18,OE-LFP10Ah-0SOC-cell10,"No effect, local heating, internal discharge – 2",2,20.60325,20.52182,20.52182,20.73986,580,20.52182,NA
19,OE-LFP10Ah-40SOC-cell7,"No effect, local heating, internal discharge – 2",2,18.86333,18.80384,18.80384,18.84757,552,18.80384,34.9
20,OE-LFP10Ah-70SOC-cell5,"No effect, local heating, internal discharge – 2",2,16.92486,16.903505,16.89136,17.005065,682,16.89136,23.5
21,OE-LFP10Ah-70SOC-cell6,"No effect, local heating, internal discharge – 2",2,17.28041,17.25805,17.25228,17.28041,539,17.25228,NA
22,OE-LFP10Ah-100SOC-cell2,"No effect, local heating, internal discharge – 2",2,19.35461,19.35461,19.31096,19.44183,754,19.31096,NA
23,OE-LFP10Ah-80SOC-Cell15,"No effect, local heating, internal discharge – 2",2,17.64547,17.64547,17.55274,17.70767,648,17.55274,11
24,OE-LFP-cell14-60SOC-10Ah,"No effect, local heating, internal discharge – 2",2,22.78376343,22.78376343,22.47792865,22.81494346,1980,22.47792865,28.6
25,OE-LFP10Ah-60SOC,"No effect, local heating, internal discharge – 2",2,23.03896891,22.9164562,22.9164562,23.0764645,2262,22.9164562,15.8
26,500mAh1-20S0C,"No effect, local heating, internal discharge – 2",2,23.949,23.904,23.6895,23.972,1292,23.6895,NA
27,500mAh1-40S0C,"No effect, local heating, internal discharge – 2",2,23.7355,23.7355,23.6535,23.78,1410,23.6535,15.3
28,500mAh1-60S0C,"No effect, local heating, internal discharge – 2",2,24.479,24.319,24.285,24.479,1341,24.285,8.5
29,500mAh1-80S0C,"No effect, local heating, internal discharge – 2",2,23.49,23.4775,23.465,23.535,1155,23.465,16.4
30,500mAh1-100S0C,"No effect, local heating, internal discharge – 2",2,25.647,25.154,24.65,25.647,1222,24.65,10.7
31,500mAh2-20S0C,"No effect, local heating, internal discharge – 2",2,24.703,24.3675,24.213,24.703,1230,24.213,12.6
32,500mAh2-40S0C,"No effect, local heating, internal discharge – 2",2,24.08,24.047,24.037,24.49,1190,24.037,9.4
33,500mAh2-60S0C,"No effect, local heating, internal discharge – 2",2,23.99,23.99,23.943,23.99,1100,23.943,9.6
34,500mAh2-80S0C,"No effect, local heating, internal discharge – 2",2,26.557,24.785,24.466,26.557,1015,24.466,10.5
35,500mAh2-100S0C,"No effect, local heating, internal discharge – 2",2,25.284,25.284,25.071,25.749,1100,25.071,12.2
36,500mAh3-20S0C,"No effect, local heating, internal discharge – 2",2,23.878,23.868,23.814,23.943,974,23.814,27
37,500mAh3-40S0C,"No effect, local heating, internal discharge – 2",2,25.204,25.034,24.74,25.4175,1034,24.74,6.6
38,500mAh3-60S0C,"No effect, local heating, internal discharge – 2",2,24.296,24.296,24.257,24.351,952,24.257,26.7
39,500mAh3-80S0C,"No effect, local heating, internal discharge – 2",2,25.5,25.236,25.236,26.124,952,25.236,10.9
40,500mAh3-100S0C,"No effect, local heating, internal discharge – 2",2,25.897,25.286,25.286,27.446,930,25.286,8.4
41,2000mAh1-20S0C,"No effect, local heating, internal discharge – 2",2,23.79,23.741,23.596,23.7985,1453,23.596,10.1
42,2000mAh1-40S0C,"No effect, local heating, internal discharge – 2",2,24.781,24.781,24.437,25.227,1496,24.437,13.6
43,2000mAh2-20S0C,"No effect, local heating, internal discharge – 2",2,23.896,23.843,23.8455,23.896,312,23.8455,148.4
44,2000mAh2-40S0C,"No effect, local heating, internal discharge – 2",2,24.51,24.405,24.324,24.7035,1586,24.324,21.9
45,1500mAh1-20S0C,"No effect, local heating, internal discharge – 2",2,24.291,24.196,24.171,24.459,1408,24.171,11.6
46,1500mAh1-40S0C,"No effect, local heating, internal discharge – 2",2,23.784,23.7675,23.761,23.801,44,23.761,150
47,1500mAh1-60S0C,"No effect, local heating, internal discharge – 2",2,23.9535,23.817,23.817,24.031,1482,23.817,15.5
48,1500mAh1-80S0C,"No effect, local heating, internal discharge – 2",2,25.1155,24.515,24.3225,25.1155,1346,24.3225,11.9
49,1500mAh1-100S0C,"No effect, local heating, internal discharge – 2",2,24.692,24.692,23.987,25.119,1386,23.987,10.6
50,1500mAh2-20S0C,"No effect, local heating, internal discharge – 2",2,24.9235,24.7525,24.62,24.9235,1470,24.62,16.5
51,1500mAh2-40S0C,"No effect, local heating, internal discharge – 2",2,25.2065,24.9225,24.8,25.368,1272,24.8,12.7
52,1500mAh2-60S0C,"No effect, local heating, internal discharge – 2",2,24.805,24.3515,24.3515,25.0715,1380,24.3515,11.5
53,1500mAh2-80S0C,"No effect, local heating, internal discharge – 2",2,25.355,25.101,23.902,25.935,1391,23.902,10.8
54,1500mAh2-100S0C,"No effect, local heating, internal discharge – 2",2,24.394,24.394,24.024,24.619,1520,24.024,20.2
