"","temperature","detected_value_rt","detected_offline"
"1",18.93017,-0.0104166666666667,0
"2",18.93491,-0.0104166666666667,0
"3",18.92702,-0.0104166666666667,0
"4",18.91516,-0.0104166666666667,0
"5",18.92464,-0.0104166666666667,0
"6",18.92148,-0.0104166666666667,0
"7",18.9191,-0.0104166666666667,0
"8",18.92778,-0.0104166666666667,0
"9",18.91753,-0.0104166666666667,0
"10",18.92149,-0.0104166666666667,0
"11",18.91516,-0.0104166666666667,0
"12",18.92778,-0.0104166666666667,0
"13",18.90884,-0.0104166666666667,0
"14",18.91991,-0.0104166666666667,0
"15",18.93807,-0.0104166666666667,0
"16",18.91359,-0.0104166666666667,0
"17",18.92464,-0.0208333333333333,0
"18",18.92464,-0.0208333333333333,0
"19",18.92859,-0.0208333333333333,0
"20",18.92306,-0.0208333333333333,0
"21",18.91752,-0.0208333333333333,0
"22",18.92463,-0.0208333333333333,0
"23",18.92781,-0.0208333333333333,0
"24",18.92069,-0.0208333333333333,0
"25",18.93096,-0.0208333333333333,0
"26",18.9341,-0.0208333333333333,0
"27",18.91753,-0.0208333333333333,0
"28",18.92622,-0.03125,0
"29",18.92859,-0.03125,0
"30",18.94358,-0.03125,0
"31",18.93175,-0.03125,0
"32",18.91911,-0.03125,0
"33",18.92622,-0.03125,0
"34",18.90964,-0.03125,0
"35",18.92386,-0.03125,0
"36",18.90252,-0.03125,0
"37",18.92542,-0.03125,0
"38",18.93491,-0.03125,0
"39",18.91122,-0.03125,0
"40",18.92307,-0.03125,0
"41",18.92464,-0.0208333333333333,0
"42",18.91752,-0.0208333333333333,0
"43",18.92622,-0.0208333333333333,0
"44",18.91435,-0.0208333333333333,0
"45",18.92778,-0.0208333333333333,0
"46",18.92228,-0.0208333333333333,0
"47",18.91596,-0.0208333333333333,0
"48",18.90174,-0.0208333333333333,0
"49",18.92464,-0.0104166666666667,0
"50",18.93492,-0.0104166666666667,0
"51",18.93175,0,0
"52",18.93096,0,0
"53",18.91358,0,0
"54",18.93569,0,0
"55",18.92305,0,0
"56",18.93412,0,0
"57",18.92544,0,0
"58",18.93253,0,0
"59",18.93649,0,0
"60",18.93885,0,0
"61",18.92226,0,0
"62",18.91438,0,0
