,dataset_name,severity_description.x,severity_level,Conclusion,second_buy,Label,battery,battery_category,X10_60,X10_75,X10_100,X10_125,X10_150,X40_60,X40_75,X40_100,X40_125,X40_150,X30_75,X30_100,X30_125,X30_150
1,1500mAh1-100S0C,"No effect, local heating, internal discharge – 2",2,TP,76.2,1,Rec,Lab/Generic,0.518954248,0.490909091,0.425274725,0.348275862,0.30141844,0.595238095,0.537962963,0.455191257,0.403100775,0.328528529,0.465942029,0.337089202,0.276736111,0.259779614
2,1500mAh1-20S0C,"No effect, local heating, internal discharge – 2",2,TP,73,1,Rec,Lab/Generic,0.488888889,0.392929293,0.31978022,0.273850575,0.254846336,0.638095238,0.45,0.362295082,0.337209302,0.299099099,0.418115942,0.284976526,0.210763889,0.102479339
3,1500mAh1-40S0C,"No effect, local heating, internal discharge – 2",2,FP,71,0,Rec,Lab/Generic,0.429411765,0.346969697,0.251648352,0.197413793,0.166193853,0.515873016,0.390740741,0.244808743,0.194573643,0.177477477,0.242753623,0.255868545,0.276041667,0.355647383
4,1500mAh1-60S0C,"No effect, local heating, internal discharge – 2",2,TP,61.7,1,Rec,Lab/Generic,0.647058824,0.566161616,0.472161172,0.391954023,0.335460993,0.63015873,0.512962963,0.416393443,0.370930233,0.324924925,0.446376812,0.4,0.341319444,0.343250689
5,1500mAh1-80S0C,"No effect, local heating, internal discharge – 2",2,TP,78.9,1,Rec,Lab/Generic,0.538562092,0.443939394,0.360805861,0.292816092,0.269030733,0.541269841,0.47962963,0.407650273,0.343410853,0.316816817,0.32173913,0.23286385,0.18125,0.379338843
6,1500mAh2-100S0C,"No effect, local heating, internal discharge – 2",2,TP,53.2,1,Rec,Lab/Generic,0.622222222,0.541919192,0.431135531,0.372701149,0.33356974,0.7,0.599074074,0.513114754,0.426744186,0.35975976,0.315942029,0.294835681,0.285763889,0.328374656
7,1500mAh2-20S0C,"No effect, local heating, internal discharge – 2",2,TP,61.9,1,Rec,Lab/Generic,0.495424837,0.419191919,0.342124542,0.268390805,0.220803783,0.626984127,0.559259259,0.416939891,0.30503876,0.275975976,0.442028986,0.410798122,0.354861111,0.363911846
8,1500mAh2-40S0C,"No effect, local heating, internal discharge – 2",2,TP,85.5,1,Rec,Lab/Generic,0.621568627,0.574747475,0.475457875,0.401149425,0.330023641,0.623809524,0.537962963,0.458469945,0.411627907,0.359159159,0.376086957,0.322535211,0.320833333,0.301101928
9,1500mAh2-60S0C,"No effect, local heating, internal discharge – 2",2,TP,75.9,1,Rec,Lab/Generic,0.37254902,0.38989899,0.37985348,0.361206897,0.336406619,0.850793651,0.662962963,0.391256831,0.360852713,0.328528529,0.539855072,0.45399061,0.398263889,0.299449036
10,1500mAh2-80S0C,"No effect, local heating, internal discharge – 2",2,TP,75.5,1,Rec,Lab/Generic,0.478431373,0.416161616,0.337728938,0.286206897,0.245862884,0.631746032,0.547222222,0.396174863,0.300387597,0.252552553,0.457971014,0.397183099,0.361458333,0.354269972
11,1500mAh3-100S0C,"No effect, local heating, internal discharge – 2",2,TP,72.8,1,Rec,Lab/Generic,0.605228758,0.536363636,0.442124542,0.387931034,0.331678487,0.66031746,0.557407407,0.46010929,0.398449612,0.316216216,0.439855072,0.361032864,0.316666667,0.349035813
12,1500mAh3-20S0C,"No effect, local heating, internal discharge – 2",2,TP,64.7,1,Rec,Lab/Generic,0.583006536,0.518181818,0.446520147,0.413793103,0.380378251,0.661904762,0.548148148,0.470491803,0.422093023,0.375075075,0.485507246,0.392957746,0.344097222,0.288980716
