T1,Q1,AT1,I1,V1
292.15,3.05700000000002,0,0,-3.64857499681337
292.15,3.05146481358125,0,15,-3.78000529683584
292.15,3.04595809512861,0,15,-3.78042252800224
292.15,3.04048037997626,0,15,-3.78083524530226
292.15,3.03503217614698,0,15,-3.78124350314573
292.15,3.02961396517784,0,15,-3.7816473552572
292.15,3.02422620292361,0,15,-3.78204685468485
292.15,3.01886932033935,0,15,-3.78244205380923
292.15,3.01354372424211,0,15,-3.78283300435199
292.15,3.00824979805262,0,15,-3.78321975738446
292.15,3.00298790251694,0,15,-3.78360236333616
292.15,2.99775837640945,0,15,-3.78398087200315
292.15,2.99256153721663,0,15,-3.7843553325564
292.15,2.98739768180289,0,15,-3.78472579354991
292.15,2.9822670870584,0,15,-3.78509230292888
292.15,2.97717001052956,0,15,-3.78545490803765
292.15,2.97210669103265,0,15,-3.78581365562766
292.15,2.96707734925096,0,15,-3.78616859186521
292.15,2.96208218831552,0,15,-3.78651976233921
292.15,2.95712139437057,0,15,-3.78686721206876
292.15,2.95219513712348,0,15,-3.7872109855107
292.15,2.94730357037972,0,15,-3.78755112656702
292.15,2.94244683256329,0,15,-3.78788767859215
292.15,2.93762504722321,0,15,-3.78822068440026
292.15,2.93283832352583,0,15,-3.78855018627237
292.15,2.9280867567339,0,15,-3.78887622596339
292.15,2.92337042867265,0,15,-3.78919884470907
292.15,2.91868940818256,0,15,-3.78951808323289
292.15,2.91404375156029,0,15,-3.78983398175284
292.15,2.9094335029871,0,15,-3.79014657998804
292.15,2.90485869494546,0,15,-3.79045591716542
292.15,2.90031934862421,0,15,-3.79076203202618
292.15,2.89581547431254,0,15,-3.7910649628322
292.15,2.89134707178286,0,15,-3.79136474737241
292.15,2.88691413066303,0,15,-3.79166142296902
292.15,2.88251663079856,0,15,-3.79195502648369
292.15,2.87815454260405,0,15,-3.79224559432357
292.15,2.87382782740525,0,15,-3.79253316244738
292.15,2.86953643777147,0,15,-3.79281776637124
292.15,2.86528031783845,0,15,-3.79309944117456
292.15,2.86105940362228,0,15,-3.79337822150577
292.15,2.8568736233243,0,15,-3.79365414158799
292.15,2.85272289762756,0,15,-3.79392723522465
292.15,2.84860713998469,0,15,-3.794197535805
292.15,2.84452625689761,0,15,-3.79446507630953
292.15,2.84048014818936,0,15,-3.79472988931537
292.15,2.83646870726793,0,15,-3.79499200700158
292.15,2.8324918213828,0,15,-3.79525146115434
